Reward,Arch_Train,Train,Evaluate
504.0947488,ppo,Flat,Flat
770.1575464,ppo,Flat,Flat
225.3147014,ppo,Flat,Flat
566.4848309,ppo,Flat,Flat
652.8522455,ppo,Flat,Flat
302.7327728,ppo,Flat,Flat
565.4058179,ppo,Flat,Flat
600.6757727,ppo,Flat,Flat
592.45,ppo,Flat,Flat
557.175,ppo,Flat,Flat
764.2092344,dppo,Flat,Flat
707.2826952,dppo,Flat,Flat
570.693177,dppo,Flat,Flat
681.3524373,dppo,Flat,Flat
756.0963754,dppo,Flat,Flat
695.8598352,dppo,Flat,Flat
733.1942455,dppo,Flat,Flat
575.6655297,dppo,Flat,Flat
598.666,dppo,Flat,Flat
446.231,dppo,Flat,Flat
486.5963284,ppo,Height,Flat
418.8243088,ppo,Height,Flat
485.715025,ppo,Height,Flat
466.2445139,ppo,Height,Flat
440.8144571,ppo,Height,Flat
550.790083,ppo,Height,Flat
469.1984256,ppo,Height,Flat
495.3648633,ppo,Height,Flat
412.3734595,ppo,Height,Flat
439.6781818,ppo,Height,Flat
544.2432388,dppo,Height,Flat
318.1984268,dppo,Height,Flat
474.7193102,dppo,Height,Flat
551.7999551,dppo,Height,Flat
525.8356385,dppo,Height,Flat
463.4056702,dppo,Height,Flat
490.6084838,dppo,Height,Flat
435.4667257,dppo,Height,Flat
476.2784752,dppo,Height,Flat
380.289463,dppo,Height,Flat
404.0087735,ppo,Flat,Height_010
413.5659107,ppo,Flat,Height_010
173.1906668,ppo,Flat,Height_010
413.9251072,ppo,Flat,Height_010
437.8855025,ppo,Flat,Height_010
286.8963006,ppo,Flat,Height_010
453.4234781,ppo,Flat,Height_010
442.8154867,ppo,Flat,Height_010
231.528,ppo,Flat,Height_010
208.32,ppo,Flat,Height_010
376.248627,dppo,Flat,Height_010
399.5604135,dppo,Flat,Height_010
378.3470111,dppo,Flat,Height_010
436.4738271,dppo,Flat,Height_010
367.6135992,dppo,Flat,Height_010
164.4969165,dppo,Flat,Height_010
419.2555235,dppo,Flat,Height_010
358.1874942,dppo,Flat,Height_010
385.728,dppo,Flat,Height_010
428.673,dppo,Flat,Height_010
443.7971866,ppo,Height,Height_010
377.2670678,ppo,Height,Height_010
352.2145773,ppo,Height,Height_010
434.7731177,ppo,Height,Height_010
257.6023462,ppo,Height,Height_010
449.9051868,ppo,Height,Height_010
458.6548575,ppo,Height,Height_010
393.1366765,ppo,Height,Height_010
330.5417649,ppo,Height,Height_010
382.1362251,ppo,Height,Height_010
453.8363106,dppo,Height,Height_010
290.9131026,dppo,Height,Height_010
403.5802537,dppo,Height,Height_010
388.0497661,dppo,Height,Height_010
458.230669,dppo,Height,Height_010
451.7419061,dppo,Height,Height_010
433.1197369,dppo,Height,Height_010
428.7090723,dppo,Height,Height_010
446.2109449,dppo,Height,Height_010
440.864543,dppo,Height,Height_010
448.069418,ppo,Flat,Height_005
389.2162035,ppo,Flat,Height_005
171.0554577,ppo,Flat,Height_005
445.4110788,ppo,Flat,Height_005
406.0547748,ppo,Flat,Height_005
307.8207635,ppo,Flat,Height_005
423.2483768,ppo,Flat,Height_005
432.5754736,ppo,Flat,Height_005
285.282,ppo,Flat,Height_005
259.6055495,ppo,Flat,Height_005
382.9171602,dppo,Flat,Height_005
399.5350215,dppo,Flat,Height_005
432.429653,dppo,Flat,Height_005
419.8755876,dppo,Flat,Height_005
377.4051045,dppo,Flat,Height_005
145.6266281,dppo,Flat,Height_005
390.3623394,dppo,Flat,Height_005
378.4472393,dppo,Flat,Height_005
364.475,dppo,Flat,Height_005
420.975,dppo,Flat,Height_005
445.6818413,ppo,Height,Height_005
406.8198653,ppo,Height,Height_005
426.187319,ppo,Height,Height_005
452.4778777,ppo,Height,Height_005
319.6167309,ppo,Height,Height_005
455.760921,ppo,Height,Height_005
441.6120389,ppo,Height,Height_005
338.4129988,ppo,Height,Height_005
345.6552233,ppo,Height,Height_005
417.2742144,ppo,Height,Height_005
427.4406641,dppo,Height,Height_005
312.828059,dppo,Height,Height_005
385.6886011,dppo,Height,Height_005
394.5264896,dppo,Height,Height_005
445.3247298,dppo,Height,Height_005
429.18584,dppo,Height,Height_005
456.3805989,dppo,Height,Height_005
450.5448095,dppo,Height,Height_005
455.7824064,dppo,Height,Height_005
437.7878476,dppo,Height,Height_005
311.9947693,ppo,Flat,Height_015
437.225168,ppo,Flat,Height_015
164.2396221,ppo,Flat,Height_015
286.3721729,ppo,Flat,Height_015
390.9148792,ppo,Flat,Height_015
255.3481824,ppo,Flat,Height_015
391.6098038,ppo,Flat,Height_015
359.2513956,ppo,Flat,Height_015
153.587,ppo,Flat,Height_015
122.095,ppo,Flat,Height_015
416.0970993,dppo,Flat,Height_015
410.127633,dppo,Flat,Height_015
315.7497237,dppo,Flat,Height_015
414.3050688,dppo,Flat,Height_015
333.7622817,dppo,Flat,Height_015
99.76622511,dppo,Flat,Height_015
397.5668126,dppo,Flat,Height_015
285.5259661,dppo,Flat,Height_015
375.811,dppo,Flat,Height_015
377.912,dppo,Flat,Height_015
393.6175552,ppo,Height,Height_015
332.8469226,ppo,Height,Height_015
266.0999771,ppo,Height,Height_015
392.6372543,ppo,Height,Height_015
168.8274233,ppo,Height,Height_015
379.780473,ppo,Height,Height_015
410.361559,ppo,Height,Height_015
431.3793371,ppo,Height,Height_015
279.4681469,ppo,Height,Height_015
314.3604426,ppo,Height,Height_015
429.8084493,dppo,Height,Height_015
244.8337507,dppo,Height,Height_015
384.4107846,dppo,Height,Height_015
249.2805378,dppo,Height,Height_015
365.5852058,dppo,Height,Height_015
407.9935387,dppo,Height,Height_015
379.4943406,dppo,Height,Height_015
372.9645302,dppo,Height,Height_015
381.6763527,dppo,Height,Height_015
413.7057921,dppo,Height,Height_015
