# {"t_start": 1582878717.8909564, "env_id": "PhantomX-v0"} 
r,l,t
0.175877,1024,22.870285
-0.70955,1024,45.966682
-1.130861,1024,68.77729
0.135699,1024,91.651428
-0.125139,1024,114.085036
0.777793,1024,136.534817
1.024703,1024,158.312668
0.054013,1024,181.465058
0.558498,1024,205.769581
1.791901,1024,229.83237
1.530167,1024,254.140412
0.520748,1024,278.508631
2.172568,1024,302.69561
1.937641,1024,326.839958
2.711552,1024,350.963979
2.937842,1024,375.300626
2.926888,1024,399.79053
3.207761,1024,424.189369
3.027085,1024,448.467757
3.199511,1024,472.90381
4.822681,1024,497.350702
5.3493,1024,521.909681
5.745546,1024,546.565848
6.723425,1024,571.083322
8.040905,1024,596.074965
8.476326,1024,620.916909
9.166463,1024,645.814956
9.914735,1024,670.946632
13.473317,1024,696.248914
10.645388,1024,721.335426
13.486983,1024,746.793454
14.560024,1024,772.391007
15.095806,1024,797.975458
16.899716,1024,823.38209
14.944667,1024,849.009569
14.613418,1024,874.546982
16.364094,1024,900.375592
17.02001,1024,926.245526
16.387016,1024,951.892708
16.57839,1024,977.936453
17.661652,1024,1003.817403
16.30809,1024,1029.894654
19.974284,1024,1055.927148
17.175271,1024,1081.793145
19.991834,1024,1107.766823
18.133773,1024,1133.921818
16.371245,1024,1160.018788
19.147342,1024,1185.81681
19.948265,1024,1211.703773
19.077472,1024,1237.719844
19.740291,1024,1264.036619
20.223353,1024,1290.185341
21.137412,1024,1315.934449
22.174262,1024,1341.368839
21.149199,1024,1366.711458
19.562059,1024,1392.327595
21.911904,1024,1418.092507
21.613883,1024,1443.39978
21.996819,1024,1468.741622
20.191857,1024,1494.056547
22.066087,1024,1519.608693
22.334267,1024,1545.320841
22.612036,1024,1570.808484
22.067013,1024,1596.231359
24.056246,1024,1621.818924
24.108775,1024,1647.154375
24.500578,1024,1672.858617
24.631309,1024,1698.248966
24.004338,1024,1723.493406
24.713811,1024,1749.205614
22.989569,1024,1774.892368
24.142784,1024,1800.380756
24.277151,1024,1825.691956
26.690957,1024,1851.062245
26.252769,1024,1876.539328
25.216114,1024,1902.057725
26.416833,1024,1927.553976
26.519616,1024,1952.760373
27.061618,1024,1978.134078
28.341395,1024,2003.462833
23.290495,1024,2028.824113
27.867943,1024,2054.216652
28.959776,1024,2079.562476
21.895179,1024,2104.778797
27.589925,1024,2130.254284
29.134138,1024,2155.532259
26.148081,1024,2180.746359
29.465338,1024,2205.834872
26.992859,1024,2231.260488
25.573109,1024,2256.693491
30.837771,1024,2282.031628
29.513955,1024,2307.38432
26.999642,1024,2332.616744
29.78157,1024,2357.813062
23.769288,1024,2383.013922
26.487144,1024,2408.291461
28.287721,1024,2433.596261
27.451427,1024,2458.457822
23.63848,1024,2483.557287
32.702726,1024,2508.516182
24.927448,1024,2533.937765
31.031559,1024,2559.34844
32.749411,1024,2584.566761
29.967769,1024,2609.803046
25.332621,1024,2635.196491
28.798872,1024,2660.480837
27.649197,1024,2685.898194
34.859533,1024,2710.970946
27.455121,1024,2736.336354
34.339085,1024,2761.777313
30.789619,1024,2787.053639
28.529793,1024,2812.206981
30.642746,1024,2837.118722
29.536666,1024,2862.18148
32.282652,1024,2887.368837
32.258625,1024,2912.627993
33.011181,1024,2937.85191
29.915852,1024,2963.132174
34.851613,1024,2988.398344
31.469484,1024,3013.579755
30.354356,1024,3038.866598
32.86219,1024,3064.320216
35.140872,1024,3089.4846
34.576486,1024,3114.693796
33.217959,1024,3139.837439
35.80072,1024,3165.140605
37.028548,1024,3190.540916
30.978632,1024,3215.724133
32.882488,1024,3240.41854
34.439956,1024,3265.489819
35.320208,1024,3290.440903
36.337185,1024,3315.568126
31.711338,1024,3340.681234
33.721692,1024,3365.634535
36.122477,1024,3390.620479
30.478093,1024,3415.362816
33.555226,1024,3440.029158
36.350819,1024,3465.083783
33.550775,1024,3490.204619
34.716549,1024,3515.214341
31.645701,1024,3540.169734
35.543056,1024,3565.531031
27.169581,1024,3590.196004
31.104081,1024,3615.077899
31.501265,1024,3640.258739
36.189292,1024,3665.757807
38.278456,1024,3691.020193
36.461772,1024,3716.447204
34.944423,1024,3741.151454
37.71798,1024,3766.253494
38.033952,1024,3791.301152
32.758899,1024,3816.511062
35.877598,1024,3841.797194
33.927199,1024,3866.510389
38.976299,1024,3891.588248
32.651586,1024,3916.62941
36.340881,1024,3941.672248
36.536555,1024,3966.522523
37.592284,1024,3991.512785
32.979831,1024,4016.84904
36.551252,1024,4041.774623
34.357795,1024,4066.995353
37.213873,1024,4092.076384
40.246559,1024,4116.865916
36.410484,1024,4141.696011
39.241602,1024,4166.601317
38.423657,1024,4191.404619
35.308175,1024,4216.414846
38.489543,1024,4241.398302
37.793017,1024,4266.196321
40.526162,1024,4291.267346
36.354373,1024,4316.351456
39.136737,1024,4341.452225
38.727708,1024,4366.510151
42.934442,1024,4391.341187
44.692279,1024,4416.180339
42.507237,1024,4441.018408
43.192676,1024,4466.021105
34.187238,1024,4490.855975
42.910026,1024,4515.240388
45.073261,1024,4539.926095
43.721466,1024,4565.160923
46.014813,1024,4590.01334
44.588921,1024,4614.919425
45.031207,1024,4639.690428
51.340568,1024,4664.751937
42.783434,1024,4689.76034
37.494705,1024,4714.50908
44.303637,1024,4739.434468
48.988096,1024,4764.267645
43.339827,1024,4789.139848
44.707198,1024,4813.827706
41.663624,1024,4838.871153
54.657376,1024,4863.71516
44.028753,1024,4888.371147
40.226542,1024,4913.347795
49.038616,1024,4938.392355
44.316856,1024,4962.982618
53.115291,1024,4987.700252
46.163613,1024,5012.251909
44.286298,1024,5037.468209
48.702721,1024,5062.148025
54.067857,1024,5086.487504
53.261794,1024,5110.975569
52.988131,1024,5135.897299
53.595302,1024,5160.596719
48.026921,1024,5185.668721
56.344869,1024,5210.367077
55.562438,1024,5234.661035
49.796017,1024,5259.185891
59.031667,1024,5284.088418
54.441487,1024,5309.041764
56.176285,1024,5333.485269
60.477505,1024,5358.054969
58.653695,1024,5382.858824
50.318852,1024,5407.459533
55.431429,1024,5432.039007
61.777494,1024,5456.705471
50.563427,1024,5481.218219
72.687207,1024,5505.525347
59.717281,1024,5529.845154
58.454222,1024,5554.529299
60.724648,1024,5579.117032
55.2373,1024,5603.712242
59.659323,1024,5628.442924
66.617951,1024,5652.751754
57.845949,1024,5677.572804
30.312103,1024,5702.035675
52.114754,1024,5726.484784
73.571936,1024,5750.770562
59.826856,1024,5775.554441
58.89786,1024,5799.857361
64.516922,1024,5824.152497
58.856971,1024,5848.815452
44.110696,1024,5873.638219
51.172749,1024,5898.422813
56.61791,1024,5923.246583
39.010949,1024,5947.650625
36.153376,1024,5972.300488
41.260328,1024,5996.974407
67.601315,1024,6021.452549
53.074679,1024,6045.663803
64.921519,1024,6069.971726
56.324741,1024,6094.548622
61.230993,1024,6119.084549
41.62791,1024,6143.611947
56.135261,1024,6168.434411
66.141213,1024,6192.784375
65.00274,1024,6217.628169
52.849662,1024,6241.827917
74.689261,1024,6266.305342
74.484789,1024,6291.035849
74.77551,1024,6315.578602
66.76092,1024,6339.948865
79.694697,1024,6364.443127
77.871838,1024,6389.148877
69.128895,1024,6413.613668
72.531673,1024,6438.11694
75.064569,1024,6462.508909
72.896015,1024,6487.121191
58.823374,1024,6511.990456
57.783847,1024,6536.385932
51.380786,1024,6560.854465
52.173065,1024,6585.548826
82.268739,1024,6610.045082
78.314696,1024,6634.722062
61.306864,1024,6659.149278
84.055942,1024,6683.877663
81.305605,1024,6708.191659
53.677061,1024,6732.74003
69.184117,1024,6757.422131
72.840694,1024,6781.910369
48.415044,1024,6806.822168
81.528807,1024,6831.301344
59.295343,1024,6856.015715
73.57755,1024,6880.825885
76.1074,1024,6905.18489
84.257552,1024,6929.679258
80.631903,1024,6954.261553
88.165424,1024,6978.515972
91.583992,1024,7003.055859
72.833048,1024,7027.240103
88.400713,1024,7051.703221
83.909378,1024,7075.836174
92.542532,1024,7100.244473
62.39245,1024,7124.222303
94.378171,1024,7148.737545
83.644708,1024,7172.921342
91.994384,1024,7197.440076
89.42666,1024,7221.721438
98.195667,1024,7245.790137
94.069649,1024,7270.280357
89.566399,1024,7294.76919
69.980038,1024,7319.040192
76.247093,1024,7343.132356
90.962209,1024,7367.074033
99.203512,1024,7391.439203
100.401414,1024,7415.606117
94.720461,1024,7439.965909
99.040649,1024,7464.233657
95.467003,1024,7488.44046
89.136524,1024,7512.745654
101.054194,1024,7537.119833
99.070955,1024,7561.890327
89.878825,1024,7585.804324
