# {"t_start": 1582876436.7921798, "env_id": "PhantomXLeg-v0"} 
r,l,t
-0.323915,1024,28.610305
-0.34456,1024,54.447404
-0.598198,1024,80.306858
0.120261,1024,107.682162
-0.496666,1024,138.995525
1.104463,1024,170.370879
1.55335,1024,201.890033
0.989548,1024,233.262169
2.305866,1024,264.607336
1.581474,1024,295.870404
3.228237,1024,327.039364
3.432404,1024,358.487996
5.435159,1024,389.993143
6.083932,1024,421.406763
8.399604,1024,452.885185
9.920981,1024,484.986168
12.024154,1024,516.989785
13.481575,1024,549.348932
13.968049,1024,581.49407
14.040885,1024,614.179611
14.599286,1024,646.73605
14.893056,1024,679.142037
16.008593,1024,711.546523
16.371724,1024,743.966406
15.84987,1024,775.979754
16.414593,1024,808.219633
18.639906,1024,840.17291
19.679264,1024,872.245721
19.932648,1024,904.36309
21.98398,1024,936.499085
19.724736,1024,968.489731
22.777183,1024,1000.877821
21.530612,1024,1033.400072
20.658958,1024,1065.65538
23.222647,1024,1098.016634
23.646235,1024,1130.491392
22.201928,1024,1163.253917
23.686312,1024,1195.851127
25.29339,1024,1228.214483
25.081569,1024,1260.656055
21.295902,1024,1293.108711
25.498301,1024,1325.465393
22.647544,1024,1357.76898
21.248721,1024,1389.983521
21.747434,1024,1422.254109
22.443989,1024,1454.354049
22.176848,1024,1486.70903
23.460412,1024,1518.751613
25.355501,1024,1550.874185
24.39961,1024,1582.868235
26.441116,1024,1614.88193
29.722382,1024,1646.914776
31.081816,1024,1679.041335
30.484187,1024,1711.159576
28.059986,1024,1743.160206
29.204359,1024,1774.90475
28.178533,1024,1807.023482
31.872393,1024,1839.198181
31.603461,1024,1871.326114
30.279571,1024,1903.31458
29.828152,1024,1935.398078
34.447274,1024,1967.229011
25.788401,1024,1999.042231
31.973134,1024,2031.134582
35.006445,1024,2063.334612
29.350069,1024,2095.34913
32.010985,1024,2127.494796
34.615987,1024,2159.577184
32.721294,1024,2191.410426
34.093979,1024,2223.538284
32.456338,1024,2255.427671
31.69538,1024,2287.589374
33.039264,1024,2319.561602
36.656141,1024,2351.6871
34.682372,1024,2383.662982
34.544865,1024,2415.410161
33.281167,1024,2447.351419
28.796534,1024,2474.969158
34.501836,1024,2501.160835
33.051256,1024,2527.230731
34.68666,1024,2553.572771
34.534214,1024,2579.60331
33.725022,1024,2605.570173
41.00619,1024,2631.554754
39.880061,1024,2657.717516
34.573213,1024,2683.652424
34.628812,1024,2709.738679
19.623549,1024,2735.672743
40.922587,1024,2761.741553
33.198295,1024,2788.01887
37.719557,1024,2814.068488
27.298701,1024,2840.130361
28.25235,1024,2866.091183
29.888959,1024,2891.919144
32.389943,1024,2917.909069
32.974957,1024,2943.778813
35.933506,1024,2969.426589
41.383203,1024,2995.405256
30.033556,1024,3021.242242
32.858321,1024,3047.394868
31.92507,1024,3073.319106
33.716462,1024,3099.095657
38.583427,1024,3124.770827
36.614497,1024,3150.657007
33.039715,1024,3176.645361
41.133089,1024,3202.501406
42.150959,1024,3228.427512
39.362765,1024,3254.3711
38.353493,1024,3280.267068
31.262877,1024,3306.308185
29.400571,1024,3332.170746
42.723434,1024,3358.354173
35.247425,1024,3384.278252
42.980493,1024,3410.3351
30.908384,1024,3436.290406
35.050136,1024,3462.050455
47.364361,1024,3487.909716
40.134498,1024,3513.800994
36.664221,1024,3539.890098
36.935597,1024,3565.742317
50.068572,1024,3591.503739
43.634855,1024,3617.362212
50.021036,1024,3643.439896
46.884791,1024,3669.343374
48.900718,1024,3695.41538
46.185271,1024,3721.509063
50.238533,1024,3747.641858
47.899542,1024,3773.60936
32.939248,1024,3799.335899
49.810272,1024,3825.267678
51.916728,1024,3851.256534
50.029389,1024,3876.972415
49.123542,1024,3902.75112
43.275268,1024,3928.847944
47.941414,1024,3954.90619
35.644014,1024,3980.635852
45.118209,1024,4006.927691
54.200988,1024,4032.820709
48.5136,1024,4058.72616
52.304289,1024,4084.604473
62.824388,1024,4110.376623
31.077549,1024,4136.174793
39.992712,1024,4162.093648
49.460061,1024,4188.098537
57.258046,1024,4214.270321
53.097172,1024,4240.19651
43.979045,1024,4266.022053
33.294786,1024,4291.86203
56.504664,1024,4317.57111
51.503995,1024,4343.462848
38.817792,1024,4369.63389
52.782171,1024,4395.364914
56.641199,1024,4421.249303
52.82847,1024,4447.029289
38.902934,1024,4472.564746
51.916122,1024,4498.520759
47.115493,1024,4524.478583
40.229405,1024,4550.301328
30.253031,1024,4576.360388
26.620247,1024,4602.354671
57.96388,1024,4628.554977
47.271294,1024,4654.529692
59.904478,1024,4680.24642
49.66658,1024,4706.098212
59.210393,1024,4732.028752
35.467566,1024,4757.805951
49.367544,1024,4783.425005
40.267852,1024,4809.228244
55.493149,1024,4834.984487
65.104097,1024,4860.953466
71.568136,1024,4886.644049
47.813669,1024,4912.258888
11.430553,1024,4938.17178
49.7936,1024,4963.908406
56.856579,1024,4989.563252
54.80655,1024,5015.138295
52.462724,1024,5041.049531
46.142714,1024,5066.615368
27.740229,1024,5092.262995
55.232523,1024,5117.579655
66.928711,1024,5143.493368
24.053974,1024,5169.227814
52.689634,1024,5194.823338
60.59797,1024,5220.482759
54.963927,1024,5245.908607
53.118124,1024,5271.346513
22.972251,1024,5297.05517
65.91223,1024,5322.912787
22.86138,1024,5348.618741
55.095976,1024,5374.289797
36.188076,1024,5399.973834
42.068835,1024,5425.621157
63.841742,1024,5451.127966
49.980998,1024,5476.817723
48.567985,1024,5502.231797
73.464941,1024,5527.813045
71.595187,1024,5553.346084
78.990462,1024,5579.073266
61.591648,1024,5604.552177
59.402887,1024,5630.081869
74.169352,1024,5655.68371
