# {"t_start": 1584031133.9085028, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.192182,1024,37.408293
-0.179296,1024,71.127265
-0.476216,1024,104.642933
-0.116773,1024,138.182893
0.416751,1024,171.655054
0.698266,1024,205.309273
1.888402,1024,238.827083
1.135846,1024,272.265505
2.237081,1024,305.799195
2.072803,1024,339.576685
2.315825,1024,373.248716
1.606146,1024,406.990327
4.476929,1024,440.751656
6.029575,1024,474.573872
6.61869,1024,508.514364
9.388537,1024,542.894756
10.86554,1024,577.097528
13.605351,1024,611.597594
12.125895,1024,646.145997
16.292868,1024,681.309911
17.548656,1024,716.460368
15.849518,1024,751.642064
18.810792,1024,787.033328
17.80466,1024,821.814328
17.581901,1024,856.985193
20.268518,1024,891.915191
20.076753,1024,927.100997
20.216582,1024,962.390481
19.859183,1024,997.421003
20.829404,1024,1032.724666
20.814673,1024,1067.981288
21.728191,1024,1103.192761
22.440322,1024,1138.615779
21.49535,1024,1173.891097
22.150211,1024,1209.385737
24.340574,1024,1244.972557
22.012445,1024,1280.271712
23.483688,1024,1315.677561
24.321256,1024,1351.242238
23.56407,1024,1386.780737
22.297697,1024,1422.345137
22.027423,1024,1457.707033
23.21854,1024,1493.029526
24.534954,1024,1528.519667
26.016889,1024,1563.493241
27.675998,1024,1598.816761
28.130641,1024,1634.181396
27.732811,1024,1669.253951
30.133668,1024,1704.509355
26.494232,1024,1739.6488
27.378209,1024,1774.913776
29.442315,1024,1810.140929
29.95509,1024,1845.284928
27.7543,1024,1880.366497
31.442712,1024,1915.573243
24.959856,1024,1950.75887
26.273688,1024,1985.885907
29.130441,1024,2020.916439
31.715818,1024,2056.068044
30.212338,1024,2091.149397
30.436648,1024,2126.100226
31.390958,1024,2161.146607
30.963218,1024,2196.253056
33.795298,1024,2231.146536
34.114337,1024,2266.088144
33.889492,1024,2301.012649
34.613725,1024,2336.212227
29.375597,1024,2371.183414
36.077323,1024,2406.278812
33.723844,1024,2441.271187
38.608182,1024,2476.259383
27.485681,1024,2510.977261
38.416128,1024,2546.04227
30.271538,1024,2580.971111
32.49986,1024,2616.282664
36.589177,1024,2651.260591
38.131105,1024,2686.382032
39.13454,1024,2721.408274
35.509647,1024,2756.508581
37.12403,1024,2791.556233
37.684985,1024,2826.364031
38.729722,1024,2860.96777
36.250403,1024,2895.696731
34.7236,1024,2930.234032
42.104365,1024,2964.842761
39.745864,1024,2999.302718
41.495902,1024,3033.927448
40.538872,1024,3068.561412
42.266629,1024,3103.269522
28.218926,1024,3138.115038
44.242188,1024,3172.908924
35.166479,1024,3208.389827
35.692785,1024,3244.641955
33.147101,1024,3279.493543
42.153059,1024,3314.237809
39.140532,1024,3348.956437
41.288573,1024,3383.532893
37.648401,1024,3418.238357
41.048837,1024,3452.836427
41.680821,1024,3487.601878
46.42193,1024,3522.358629
41.335239,1024,3557.143569
30.983479,1024,3592.015387
47.444301,1024,3626.708635
