# {"t_start": 1584031133.9090507, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.192182,1024,37.407577
-0.179296,1024,71.125756
-0.476216,1024,104.641986
-0.116773,1024,138.181113
0.416751,1024,171.651807
0.698266,1024,205.307576
1.888402,1024,238.826915
1.135846,1024,272.264681
2.237081,1024,305.798394
2.072803,1024,339.575495
2.315825,1024,373.248028
1.606146,1024,406.990071
4.476929,1024,440.751774
6.029575,1024,474.573064
6.61869,1024,508.513481
9.388537,1024,542.894869
10.86554,1024,577.096088
13.605351,1024,611.597502
12.125895,1024,646.14583
16.292868,1024,681.310523
17.548656,1024,716.459618
15.849518,1024,751.642004
18.810792,1024,787.031933
17.80466,1024,821.814223
17.581901,1024,856.985268
20.268518,1024,891.914495
20.076753,1024,927.100669
20.216582,1024,962.389264
19.859183,1024,997.420768
20.829404,1024,1032.723817
20.814673,1024,1067.981173
21.728191,1024,1103.192073
22.440322,1024,1138.615079
21.49535,1024,1173.89073
22.150211,1024,1209.385639
24.340574,1024,1244.971071
22.012445,1024,1280.270422
23.483688,1024,1315.676878
24.321256,1024,1351.241794
23.56407,1024,1386.780651
22.297697,1024,1422.345588
22.027423,1024,1457.706109
23.21854,1024,1493.029203
24.534954,1024,1528.519792
26.016889,1024,1563.49238
27.675998,1024,1598.816588
28.130641,1024,1634.181346
27.732811,1024,1669.253757
30.133668,1024,1704.508243
26.494232,1024,1739.647618
27.378209,1024,1774.912726
29.442315,1024,1810.140249
29.95509,1024,1845.284517
27.7543,1024,1880.367169
31.442712,1024,1915.573536
24.959856,1024,1950.757902
26.273688,1024,1985.885605
29.130441,1024,2020.916836
31.715818,1024,2056.067835
30.212338,1024,2091.1495
30.436648,1024,2126.099306
31.390958,1024,2161.145054
30.963218,1024,2196.25297
33.795298,1024,2231.147141
34.114337,1024,2266.086281
33.889492,1024,2301.013391
34.613725,1024,2336.212265
29.375597,1024,2371.182734
36.077323,1024,2406.279056
33.723844,1024,2441.271011
38.608182,1024,2476.258617
27.485681,1024,2510.977113
38.416128,1024,2546.04082
30.271538,1024,2580.970428
32.49986,1024,2616.281907
36.589177,1024,2651.259574
38.131105,1024,2686.380778
39.13454,1024,2721.408514
35.509647,1024,2756.508535
37.12403,1024,2791.556358
37.684985,1024,2826.363089
38.729722,1024,2860.966328
36.250403,1024,2895.69598
34.7236,1024,2930.233655
42.104365,1024,2964.842082
39.745864,1024,2999.301758
41.495902,1024,3033.927865
40.538872,1024,3068.560433
42.266629,1024,3103.268287
28.218926,1024,3138.11501
44.242188,1024,3172.908845
35.166479,1024,3208.3889
35.692785,1024,3244.641759
33.147101,1024,3279.493546
42.153059,1024,3314.237702
39.140532,1024,3348.956095
41.288573,1024,3383.533122
37.648401,1024,3418.237627
41.048837,1024,3452.835661
41.680821,1024,3487.60098
46.42193,1024,3522.358643
41.335239,1024,3557.142864
30.983479,1024,3592.015643
47.444301,1024,3626.707772
49.364776,1024,3661.378483
35.960704,1024,3696.050975
46.374765,1024,3730.963656
47.579631,1024,3765.516779
48.880658,1024,3800.351306
44.060239,1024,3835.018813
48.240299,1024,3869.87059
23.015986,1024,3904.150348
48.475739,1024,3938.660648
36.01481,1024,3973.075646
3.758352,1024,4007.816366
29.448553,1024,4042.532209
47.599579,1024,4077.138086
18.793111,1024,4112.017467
10.451561,1024,4146.552851
24.799895,1024,4181.254096
11.8169,1024,4216.097919
17.089339,1024,4250.649442
26.651858,1024,4285.250794
34.822902,1024,4319.742402
25.516073,1024,4354.286967
32.022247,1024,4388.655552
34.041154,1024,4423.244009
24.647577,1024,4457.738083
47.809035,1024,4491.954231
39.84202,1024,4526.496002
35.761499,1024,4561.317737
34.763758,1024,4596.04535
20.144205,1024,4630.881383
48.180784,1024,4665.692778
26.34491,1024,4700.477548
39.532315,1024,4735.340149
33.783962,1024,4770.170206
39.290921,1024,4804.700917
39.89778,1024,4839.575703
40.736689,1024,4874.116775
49.665129,1024,4908.893535
47.233345,1024,4943.624372
45.703153,1024,4978.421988
33.909199,1024,5013.341044
33.477986,1024,5048.348313
39.066879,1024,5083.25571
37.90033,1024,5118.020468
38.294426,1024,5152.831105
39.377732,1024,5187.799516
32.616407,1024,5222.789887
53.363047,1024,5257.642104
43.650407,1024,5292.906728
45.340545,1024,5327.902195
50.638663,1024,5363.00455
38.36619,1024,5398.086995
45.368698,1024,5432.957992
54.926216,1024,5467.952546
33.73964,1024,5503.147684
38.493775,1024,5538.276044
52.642735,1024,5573.104079
48.405604,1024,5607.872507
45.67225,1024,5642.390883
37.802258,1024,5677.388383
37.409334,1024,5712.222787
56.29317,1024,5746.876737
47.45868,1024,5781.745538
51.436588,1024,5816.656465
61.666737,1024,5851.474018
52.397213,1024,5886.238091
51.477834,1024,5921.225819
64.477932,1024,5955.979412
44.686831,1024,5990.712312
52.38257,1024,6025.66671
55.995186,1024,6060.571559
31.010631,1024,6095.264639
67.876291,1024,6129.882263
60.247286,1024,6164.666463
72.562376,1024,6199.133542
55.164551,1024,6233.737657
68.350039,1024,6268.230333
73.168023,1024,6302.774755
65.283793,1024,6337.410467
42.674295,1024,6372.181501
59.964309,1024,6406.814271
60.199839,1024,6441.415231
67.581386,1024,6476.108481
52.285288,1024,6510.967668
62.885123,1024,6545.751312
72.940473,1024,6580.01477
67.624112,1024,6614.595678
68.920998,1024,6649.311224
56.079134,1024,6684.093171
50.280082,1024,6718.71753
63.454386,1024,6753.43218
62.040627,1024,6787.920615
76.407823,1024,6822.335125
72.057934,1024,6856.940482
55.235164,1024,6891.362251
66.10562,1024,6925.636819
71.542033,1024,6959.879375
69.626857,1024,6994.252943
78.820765,1024,7028.548859
57.690239,1024,7062.605659
73.539395,1024,7097.32238
75.488309,1024,7131.78381
50.801729,1024,7166.312176
81.114239,1024,7200.499643
71.467977,1024,7234.945346
75.37809,1024,7269.307618
75.777689,1024,7303.628853
23.728418,1024,7337.688059
83.428307,1024,7371.851741
36.564023,1024,7406.11039
62.082547,1024,7440.505762
60.996617,1024,7474.894791
76.364823,1024,7509.322551
72.212121,1024,7543.75603
84.640449,1024,7578.347817
90.170896,1024,7612.668378
63.063635,1024,7647.052206
67.675257,1024,7681.370115
91.753335,1024,7715.827647
84.144059,1024,7750.15387
47.352009,1024,7784.363555
87.032537,1024,7818.667509
84.92363,1024,7853.307858
86.969907,1024,7887.779309
36.157469,1024,7922.02955
82.950146,1024,7956.451981
77.648355,1024,7990.686645
93.143857,1024,8025.15229
93.161771,1024,8059.755732
93.389881,1024,8094.219227
74.16862,1024,8128.68449
32.688088,1024,8162.635566
92.540211,1024,8197.043227
95.54719,1024,8231.646755
83.005746,1024,8266.312039
81.952709,1024,8300.887694
91.359955,1024,8335.297875
103.892499,1024,8369.72761
85.50333,1024,8404.274199
89.301547,1024,8438.372046
23.684654,1024,8472.759502
101.00861,1024,8507.107949
90.802393,1024,8541.434826
90.126325,1024,8575.81979
94.273576,1024,8610.362818
95.054958,1024,8644.829298
85.889033,1024,8679.274544
99.149465,1024,8713.685709
47.327384,1024,8748.011851
94.470805,1024,8782.561246
84.521806,1024,8817.33237
89.383655,1024,8851.817399
113.089932,1024,8886.482289
98.726836,1024,8920.835833
96.522978,1024,8955.155819
97.269993,1024,8989.111097
101.853165,1024,9023.48731
103.199024,1024,9057.752309
104.564508,1024,9092.319787
112.846321,1024,9126.387033
100.101153,1024,9160.624291
