# {"t_start": 1584031133.9096086, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.192182,1024,37.406811
-0.179296,1024,71.124909
-0.476216,1024,104.641657
-0.116773,1024,138.181278
0.416751,1024,171.653773
0.698266,1024,205.30765
1.888402,1024,238.826821
1.135846,1024,272.264243
2.237081,1024,305.798512
2.072803,1024,339.574651
2.315825,1024,373.247211
1.606146,1024,406.989946
4.476929,1024,440.750774
6.029575,1024,474.572251
6.61869,1024,508.512328
9.388537,1024,542.894557
10.86554,1024,577.096254
13.605351,1024,611.597388
12.125895,1024,646.144563
16.292868,1024,681.309638
17.548656,1024,716.460304
15.849518,1024,751.640812
18.810792,1024,787.032049
17.80466,1024,821.813468
17.581901,1024,856.985126
20.268518,1024,891.913345
20.076753,1024,927.100376
20.216582,1024,962.389028
19.859183,1024,997.420084
20.829404,1024,1032.722948
20.814673,1024,1067.980002
21.728191,1024,1103.192225
22.440322,1024,1138.614886
21.49535,1024,1173.889814
22.150211,1024,1209.384827
24.340574,1024,1244.97122
22.012445,1024,1280.270662
23.483688,1024,1315.675486
24.321256,1024,1351.242085
23.56407,1024,1386.779824
22.297697,1024,1422.34448
22.027423,1024,1457.706157
23.21854,1024,1493.029067
24.534954,1024,1528.519377
26.016889,1024,1563.491196
27.675998,1024,1598.815454
28.130641,1024,1634.18055
27.732811,1024,1669.252671
30.133668,1024,1704.507157
26.494232,1024,1739.647543
27.378209,1024,1774.912481
29.442315,1024,1810.139447
29.95509,1024,1845.284239
27.7543,1024,1880.366026
31.442712,1024,1915.572346
24.959856,1024,1950.75764
26.273688,1024,1985.884616
29.130441,1024,2020.915588
31.715818,1024,2056.067513
30.212338,1024,2091.148765
30.436648,1024,2126.099638
31.390958,1024,2161.144843
30.963218,1024,2196.25166
33.795298,1024,2231.145941
34.114337,1024,2266.086008
33.889492,1024,2301.012983
34.613725,1024,2336.2115
29.375597,1024,2371.181932
36.077323,1024,2406.278178
33.723844,1024,2441.26983
38.608182,1024,2476.258883
27.485681,1024,2510.976358
38.416128,1024,2546.040695
30.271538,1024,2580.969684
32.49986,1024,2616.281984
36.589177,1024,2651.259298
