# {"t_start": 1584031133.910143, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.192182,1024,37.405995
-0.179296,1024,71.124804
-0.476216,1024,104.641777
-0.116773,1024,138.180994
0.416751,1024,171.653594
0.698266,1024,205.306699
1.888402,1024,238.825018
1.135846,1024,272.262948
2.237081,1024,305.796363
2.072803,1024,339.574573
2.315825,1024,373.246478
1.606146,1024,406.989147
4.476929,1024,440.749789
6.029575,1024,474.572625
6.61869,1024,508.512668
9.388537,1024,542.893271
10.86554,1024,577.095222
13.605351,1024,611.596135
12.125895,1024,646.143758
16.292868,1024,681.308482
17.548656,1024,716.459204
15.849518,1024,751.641271
18.810792,1024,787.031813
17.80466,1024,821.813267
17.581901,1024,856.983967
20.268518,1024,891.913092
20.076753,1024,927.099153
20.216582,1024,962.388695
19.859183,1024,997.419032
20.829404,1024,1032.721696
20.814673,1024,1067.979789
21.728191,1024,1103.19181
22.440322,1024,1138.614853
21.49535,1024,1173.888725
22.150211,1024,1209.383737
24.340574,1024,1244.970419
22.012445,1024,1280.268999
23.483688,1024,1315.675698
24.321256,1024,1351.240234
23.56407,1024,1386.778653
22.297697,1024,1422.343342
22.027423,1024,1457.705202
23.21854,1024,1493.027705
24.534954,1024,1528.519195
26.016889,1024,1563.491075
27.675998,1024,1598.814753
28.130641,1024,1634.180549
27.732811,1024,1669.251722
30.133668,1024,1704.507614
26.494232,1024,1739.647305
27.378209,1024,1774.912874
29.442315,1024,1810.139461
29.95509,1024,1845.284211
27.7543,1024,1880.366263
31.442712,1024,1915.57198
24.959856,1024,1950.757727
26.273688,1024,1985.884378
29.130441,1024,2020.914655
31.715818,1024,2056.066261
30.212338,1024,2091.147632
30.436648,1024,2126.09841
31.390958,1024,2161.144116
30.963218,1024,2196.251268
33.795298,1024,2231.14623
34.114337,1024,2266.085918
33.889492,1024,2301.011494
34.613725,1024,2336.209789
29.375597,1024,2371.181979
36.077323,1024,2406.277364
33.723844,1024,2441.269011
38.608182,1024,2476.257302
27.485681,1024,2510.975478
38.416128,1024,2546.039943
30.271538,1024,2580.968708
32.49986,1024,2616.281607
36.589177,1024,2651.259067
38.131105,1024,2686.379818
39.13454,1024,2721.406873
35.509647,1024,2756.50758
37.12403,1024,2791.554801
37.684985,1024,2826.3622
38.729722,1024,2860.965617
36.250403,1024,2895.695363
34.7236,1024,2930.232719
42.104365,1024,2964.841946
39.745864,1024,2999.300135
41.495902,1024,3033.926946
40.538872,1024,3068.560384
42.266629,1024,3103.266681
28.218926,1024,3138.113214
44.242188,1024,3172.908038
35.166479,1024,3208.38724
35.692785,1024,3244.640157
33.147101,1024,3279.492267
42.153059,1024,3314.236711
39.140532,1024,3348.95435
41.288573,1024,3383.532557
37.648401,1024,3418.236328
41.048837,1024,3452.834282
41.680821,1024,3487.600428
46.42193,1024,3522.358058
41.335239,1024,3557.141432
30.983479,1024,3592.013489
47.444301,1024,3626.706115
49.364776,1024,3661.376808
35.960704,1024,3696.049101
46.374765,1024,3730.962672
47.579631,1024,3765.515844
48.880658,1024,3800.350002
44.060239,1024,3835.017962
48.240299,1024,3869.870137
23.015986,1024,3904.148642
48.475739,1024,3938.659996
36.01481,1024,3973.074113
3.758352,1024,4007.816149
29.448553,1024,4042.531304
47.599579,1024,4077.137178
18.793111,1024,4112.016657
10.451561,1024,4146.552215
24.799895,1024,4181.253379
11.8169,1024,4216.097534
17.089339,1024,4250.648528
26.651858,1024,4285.249
34.822902,1024,4319.740558
25.516073,1024,4354.286051
32.022247,1024,4388.655303
34.041154,1024,4423.242176
24.647577,1024,4457.737163
47.809035,1024,4491.953388
39.84202,1024,4526.494622
35.761499,1024,4561.316728
34.763758,1024,4596.044502
20.144205,1024,4630.880034
48.180784,1024,4665.691031
26.34491,1024,4700.477372
39.532315,1024,4735.338707
33.783962,1024,4770.169238
39.290921,1024,4804.700388
39.89778,1024,4839.574051
40.736689,1024,4874.116023
49.665129,1024,4908.89144
47.233345,1024,4943.623708
45.703153,1024,4978.421615
33.909199,1024,5013.339362
33.477986,1024,5048.348055
39.066879,1024,5083.25439
37.90033,1024,5118.01896
38.294426,1024,5152.829295
39.377732,1024,5187.798029
32.616407,1024,5222.787804
53.363047,1024,5257.641214
43.650407,1024,5292.906069
45.340545,1024,5327.900873
50.638663,1024,5363.00414
38.36619,1024,5398.08616
45.368698,1024,5432.956999
54.926216,1024,5467.95114
33.73964,1024,5503.146794
38.493775,1024,5538.275091
52.642735,1024,5573.103535
48.405604,1024,5607.871556
45.67225,1024,5642.390543
37.802258,1024,5677.386763
37.409334,1024,5712.222631
56.29317,1024,5746.87622
47.45868,1024,5781.744251
51.436588,1024,5816.655458
61.666737,1024,5851.473152
52.397213,1024,5886.236129
51.477834,1024,5921.224878
64.477932,1024,5955.97788
44.686831,1024,5990.710944
52.38257,1024,6025.66611
55.995186,1024,6060.570171
31.010631,1024,6095.264382
67.876291,1024,6129.880265
60.247286,1024,6164.665159
72.562376,1024,6199.132585
55.164551,1024,6233.73615
68.350039,1024,6268.228753
73.168023,1024,6302.774553
65.283793,1024,6337.409639
42.674295,1024,6372.180579
59.964309,1024,6406.812904
60.199839,1024,6441.413578
67.581386,1024,6476.106679
52.285288,1024,6510.967547
62.885123,1024,6545.749972
72.940473,1024,6580.013906
67.624112,1024,6614.594754
68.920998,1024,6649.310671
56.079134,1024,6684.092254
50.280082,1024,6718.715687
63.454386,1024,6753.430616
62.040627,1024,6787.918719
76.407823,1024,6822.334662
72.057934,1024,6856.938999
55.235164,1024,6891.361896
66.10562,1024,6925.635366
71.542033,1024,6959.878526
69.626857,1024,6994.252778
78.820765,1024,7028.548366
57.690239,1024,7062.603893
73.539395,1024,7097.321477
75.488309,1024,7131.782269
50.801729,1024,7166.310331
81.114239,1024,7200.499461
71.467977,1024,7234.943897
75.37809,1024,7269.307068
75.777689,1024,7303.627553
23.728418,1024,7337.686364
83.428307,1024,7371.850773
36.564023,1024,7406.10937
62.082547,1024,7440.504238
60.996617,1024,7474.89269
76.364823,1024,7509.321073
72.212121,1024,7543.755548
84.640449,1024,7578.347102
90.170896,1024,7612.66742
63.063635,1024,7647.050883
67.675257,1024,7681.369205
91.753335,1024,7715.826743
84.144059,1024,7750.152363
47.352009,1024,7784.362227
87.032537,1024,7818.665699
84.92363,1024,7853.30691
86.969907,1024,7887.777911
36.157469,1024,7922.029097
82.950146,1024,7956.451204
77.648355,1024,7990.686685
93.143857,1024,8025.150001
93.161771,1024,8059.754358
93.389881,1024,8094.218802
74.16862,1024,8128.682638
32.688088,1024,8162.634197
92.540211,1024,8197.042271
95.54719,1024,8231.646394
83.005746,1024,8266.31006
81.952709,1024,8300.886678
91.359955,1024,8335.297211
103.892499,1024,8369.72679
85.50333,1024,8404.273739
89.301547,1024,8438.370288
23.684654,1024,8472.758827
101.00861,1024,8507.10737
90.802393,1024,8541.43281
90.126325,1024,8575.818046
94.273576,1024,8610.361293
95.054958,1024,8644.827643
85.889033,1024,8679.274311
99.149465,1024,8713.684975
47.327384,1024,8748.011649
94.470805,1024,8782.561083
84.521806,1024,8817.33138
89.383655,1024,8851.816438
113.089932,1024,8886.480788
98.726836,1024,8920.83413
96.522978,1024,8955.153908
97.269993,1024,8989.109765
101.853165,1024,9023.486499
103.199024,1024,9057.751632
104.564508,1024,9092.318898
112.846321,1024,9126.386291
100.101153,1024,9160.622917
100.716169,1024,9194.802392
104.32013,1024,9228.973927
105.305572,1024,9263.044771
85.637615,1024,9297.492438
111.13927,1024,9331.7932
98.611864,1024,9366.05841
120.137564,1024,9400.445161
68.884515,1024,9434.637337
75.601114,1024,9468.538444
79.501837,1024,9502.387445
121.712864,1024,9536.71977
127.994168,1024,9571.078847
115.818412,1024,9605.492698
126.986122,1024,9639.758559
111.071033,1024,9674.057832
120.6656,1024,9708.396957
129.902513,1024,9742.90485
114.774415,1024,9776.900915
90.80786,1024,9810.991944
119.579316,1024,9845.319216
116.993593,1024,9879.539576
118.720794,1024,9913.574212
120.443311,1024,9947.884616
134.947067,1024,9982.020642
150.750623,1024,10016.221781
112.278215,1024,10050.206079
146.169754,1024,10084.657687
140.159195,1024,10118.786746
139.770053,1024,10152.896709
143.932435,1024,10186.97443
146.807788,1024,10220.930199
152.576483,1024,10254.955619
121.27709,1024,10288.924137
137.344729,1024,10323.150379
127.803653,1024,10357.104848
126.167622,1024,10391.202243
137.760684,1024,10425.178123
153.315402,1024,10459.196688
147.37324,1024,10493.224241
165.250758,1024,10527.288453
156.350531,1024,10561.372712
163.569057,1024,10595.632356
138.3785,1024,10629.773883
153.09045,1024,10664.041782
164.129131,1024,10698.262172
149.394892,1024,10732.232815
156.191585,1024,10766.56919
166.234982,1024,10800.539494
172.279678,1024,10834.639744
164.209851,1024,10868.715272
177.465557,1024,10902.478634
156.244932,1024,10936.409805
175.078145,1024,10970.17417
175.80389,1024,11004.204856
150.061377,1024,11038.346612
183.732656,1024,11072.078905
168.641601,1024,11106.217709
187.305969,1024,11140.118904
169.52875,1024,11174.379405
175.50092,1024,11208.424917
162.635832,1024,11242.217937
169.130399,1024,11276.285513
171.147975,1024,11310.464168
184.416842,1024,11344.191504
149.152464,1024,11378.362248
159.260992,1024,11412.403312
166.949691,1024,11446.537065
160.855874,1024,11480.621522
169.274619,1024,11514.780051
179.329668,1024,11548.795478
184.919741,1024,11583.019065
175.365657,1024,11616.886574
187.423102,1024,11651.095998
184.769497,1024,11685.341773
185.827846,1024,11719.386021
169.07327,1024,11753.465669
175.049298,1024,11787.555328
161.319792,1024,11821.69062
163.325933,1024,11855.748955
181.78857,1024,11889.799574
197.808717,1024,11923.870511
196.410727,1024,11957.809913
184.455032,1024,11991.916819
206.828094,1024,12026.013908
216.999088,1024,12059.919925
205.379092,1024,12093.908578
205.151118,1024,12127.951182
206.316566,1024,12161.986831
207.173109,1024,12196.192839
200.74708,1024,12230.293841
203.011836,1024,12264.329177
206.132401,1024,12298.306519
