# {"t_start": 1584031133.9106784, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.192182,1024,37.406467
-0.179296,1024,71.124524
-0.476216,1024,104.641336
-0.116773,1024,138.180007
0.416751,1024,171.653488
0.698266,1024,205.306386
1.888402,1024,238.82543
1.135846,1024,272.262853
2.237081,1024,305.796388
2.072803,1024,339.57327
2.315825,1024,373.245801
1.606146,1024,406.989447
4.476929,1024,440.750483
6.029575,1024,474.570924
6.61869,1024,508.511042
9.388537,1024,542.893156
10.86554,1024,577.094907
13.605351,1024,611.596184
12.125895,1024,646.144007
16.292868,1024,681.308213
17.548656,1024,716.458476
15.849518,1024,751.640463
18.810792,1024,787.030517
17.80466,1024,821.813215
17.581901,1024,856.983281
20.268518,1024,891.911689
20.076753,1024,927.099665
20.216582,1024,962.388614
19.859183,1024,997.418699
20.829404,1024,1032.721691
20.814673,1024,1067.978539
21.728191,1024,1103.190224
22.440322,1024,1138.61458
21.49535,1024,1173.888563
22.150211,1024,1209.383425
24.340574,1024,1244.969732
22.012445,1024,1280.269099
23.483688,1024,1315.674831
24.321256,1024,1351.24075
23.56407,1024,1386.778377
22.297697,1024,1422.343595
22.027423,1024,1457.705356
23.21854,1024,1493.027019
24.534954,1024,1528.51771
26.016889,1024,1563.490358
27.675998,1024,1598.813663
28.130641,1024,1634.17989
27.732811,1024,1669.250986
30.133668,1024,1704.506408
26.494232,1024,1739.645525
27.378209,1024,1774.911878
29.442315,1024,1810.13924
29.95509,1024,1845.283446
27.7543,1024,1880.365074
31.442712,1024,1915.572296
24.959856,1024,1950.756992
26.273688,1024,1985.882742
29.130441,1024,2020.914923
31.715818,1024,2056.065537
30.212338,1024,2091.146915
30.436648,1024,2126.097385
31.390958,1024,2161.143957
30.963218,1024,2196.250336
33.795298,1024,2231.145075
34.114337,1024,2266.085647
33.889492,1024,2301.011286
34.613725,1024,2336.209859
29.375597,1024,2371.18189
36.077323,1024,2406.276425
33.723844,1024,2441.268285
38.608182,1024,2476.256556
27.485681,1024,2510.975636
38.416128,1024,2546.040394
30.271538,1024,2580.969248
32.49986,1024,2616.280706
36.589177,1024,2651.25766
38.131105,1024,2686.378756
39.13454,1024,2721.407023
35.509647,1024,2756.506202
37.12403,1024,2791.55483
37.684985,1024,2826.362809
38.729722,1024,2860.965361
36.250403,1024,2895.695188
34.7236,1024,2930.23157
42.104365,1024,2964.840844
39.745864,1024,2999.299876
41.495902,1024,3033.926637
40.538872,1024,3068.559422
42.266629,1024,3103.266443
28.218926,1024,3138.113541
44.242188,1024,3172.906319
35.166479,1024,3208.387847
35.692785,1024,3244.640237
33.147101,1024,3279.490993
42.153059,1024,3314.236589
39.140532,1024,3348.954755
41.288573,1024,3383.53101
37.648401,1024,3418.23673
41.048837,1024,3452.834492
41.680821,1024,3487.599574
46.42193,1024,3522.35738
41.335239,1024,3557.141815
30.983479,1024,3592.013733
47.444301,1024,3626.706686
49.364776,1024,3661.376693
35.960704,1024,3696.048366
46.374765,1024,3730.9629
47.579631,1024,3765.515759
48.880658,1024,3800.348797
44.060239,1024,3835.017689
48.240299,1024,3869.869405
23.015986,1024,3904.149349
48.475739,1024,3938.65854
36.01481,1024,3973.074211
3.758352,1024,4007.814954
29.448553,1024,4042.531238
47.599579,1024,4077.136233
18.793111,1024,4112.016354
10.451561,1024,4146.55242
24.799895,1024,4181.251937
11.8169,1024,4216.09676
17.089339,1024,4250.64732
26.651858,1024,4285.248322
34.822902,1024,4319.741037
25.516073,1024,4354.285082
32.022247,1024,4388.654191
34.041154,1024,4423.242824
24.647577,1024,4457.735489
47.809035,1024,4491.953722
39.84202,1024,4526.494662
35.761499,1024,4561.316636
34.763758,1024,4596.043452
20.144205,1024,4630.880712
48.180784,1024,4665.689958
26.34491,1024,4700.476223
39.532315,1024,4735.338791
33.783962,1024,4770.169183
39.290921,1024,4804.70001
39.89778,1024,4839.573777
40.736689,1024,4874.115893
49.665129,1024,4908.890705
47.233345,1024,4943.622507
45.703153,1024,4978.420738
33.909199,1024,5013.338454
33.477986,1024,5048.347392
39.066879,1024,5083.253206
37.90033,1024,5118.019173
38.294426,1024,5152.828378
39.377732,1024,5187.7972
32.616407,1024,5222.788033
53.363047,1024,5257.640956
43.650407,1024,5292.906225
45.340545,1024,5327.901104
50.638663,1024,5363.002403
38.36619,1024,5398.0858
45.368698,1024,5432.953204
54.926216,1024,5467.951141
33.73964,1024,5503.145515
38.493775,1024,5538.275254
52.642735,1024,5573.102606
48.405604,1024,5607.871445
45.67225,1024,5642.390524
37.802258,1024,5677.385657
37.409334,1024,5712.220863
