# {"t_start": 1585258495.5972393, "env_id": "PhantomX-v0"} 
r,l,t
-2.802327,1024,70.744606
-0.597774,1024,139.327349
-0.926076,1024,209.779664
-1.5787,1024,278.549498
-0.689791,1024,345.735896
-0.518701,1024,415.393846
-0.479176,1024,486.027804
-2.687721,1024,554.183179
-0.481545,1024,621.297243
1.866432,1024,690.255288
1.52033,1024,759.371167
-1.76871,1024,826.735251
1.984967,1024,896.355163
1.332172,1024,964.231189
1.681745,1024,1035.559248
2.684285,1024,1104.446352
3.819593,1024,1174.916196
-1.920209,1024,1245.346456
4.787066,1024,1314.833083
4.113243,1024,1386.411923
4.505181,1024,1460.772984
6.273709,1024,1530.5526
5.561072,1024,1599.026219
6.097054,1024,1669.236453
6.754958,1024,1738.321617
7.568678,1024,1806.856028
10.045258,1024,1876.715371
5.869738,1024,1944.749432
11.330612,1024,2015.342834
14.955757,1024,2084.389421
11.662214,1024,2155.075013
12.866195,1024,2226.91954
12.151363,1024,2298.803215
11.562194,1024,2370.160049
18.256946,1024,2438.186921
17.872384,1024,2509.45802
17.967106,1024,2579.019887
18.320212,1024,2651.684118
18.066064,1024,2724.282563
21.92003,1024,2796.597264
17.981621,1024,2865.131468
17.443653,1024,2935.352093
20.238907,1024,3005.235393
20.859832,1024,3074.194413
23.925963,1024,3145.92902
20.26983,1024,3216.391178
23.274786,1024,3286.417886
19.288251,1024,3356.825682
21.69304,1024,3427.192332
19.550841,1024,3497.354094
25.848216,1024,3571.371515
21.199487,1024,3641.975243
25.78208,1024,3713.461081
24.994908,1024,3785.713824
21.699695,1024,3857.439774
25.622724,1024,3929.765862
24.913674,1024,4001.79372
26.260938,1024,4073.233845
24.367511,1024,4143.978966
25.673317,1024,4217.223148
24.961945,1024,4290.356628
24.019522,1024,4361.19405
29.585458,1024,4430.044451
29.989696,1024,4503.406734
30.552752,1024,4577.558881
28.511637,1024,4648.85922
26.488511,1024,4718.942622
29.816173,1024,4788.801848
20.550093,1024,4861.452512
31.966497,1024,4930.855471
27.305541,1024,5000.008468
23.187974,1024,5069.728748
31.439479,1024,5138.768466
28.939974,1024,5207.328218
33.48925,1024,5276.814641
25.357814,1024,5347.579824
23.956878,1024,5419.758495
22.38386,1024,5490.937373
27.654839,1024,5564.775435
20.647836,1024,5634.731616
30.725025,1024,5707.039885
24.6461,1024,5777.941898
30.065571,1024,5850.131288
32.965747,1024,5918.407393
26.922528,1024,5989.512827
26.415811,1024,6057.190217
32.262294,1024,6128.064023
19.422769,1024,6198.328309
30.586145,1024,6269.73576
32.589689,1024,6337.524603
26.041425,1024,6409.699139
