main/eplenmean,main/epreward,main/eprewmean,main/fps,main/kl_stop,main/loss/approxkl,main/loss/clipfrac,main/loss/policy_entropy,main/loss/policy_loss,main/loss/value_loss,main/misc/explained_variance,main/misc/nupdates,main/misc/serial_timesteps,main/misc/time_elapsed,main/misc/total_timesteps
1024.0,-1.454227,-1.454227,18,0,0.005799,0.0930664,25.5512,-0.0434226,0.0814223,-11.48723030090332,1,1024,56.12066332902759,1024
1024.0,1.273847,-0.09019,17,0,0.00577894,0.0851562,25.562,-0.042096,0.0182461,-15.46342658996582,2,2048,113.17873980477452,2048
1024.0,-0.250648,-0.143676,17,0,0.00679336,0.109277,25.5565,-0.0468555,0.00883214,-4.008452415466309,3,3072,170.42185634979978,3072
1024.0,4.407998,0.9942425,18,0,0.00571091,0.0804688,25.5454,-0.0396032,0.0783297,-0.04954123497009277,4,4096,225.92186340969056,4096
1024.0,-0.361878,0.7230184,18,0,0.0063887,0.0992187,25.5532,-0.0445904,0.00892243,-1.4085259437561035,5,5120,281.74744778405875,5120
1024.0,0.253619,0.644785166667,17,0,0.00625748,0.0970703,25.5588,-0.0444648,0.0109866,-1.0051629543304443,6,6144,339.33155794767663,6144
1024.0,-1.80723,0.294497285714,17,0,0.00636489,0.0955078,25.5639,-0.0416726,0.0127471,-0.5497727394104004,7,7168,396.30076912697405,7168
1024.0,-0.23755,0.227991375,17,0,0.00664209,0.108984,25.5679,-0.0448182,0.00575222,-2.398206949234009,8,8192,454.2307012360543,8192
1024.0,1.688265,0.390244,18,0,0.00615464,0.0929687,25.5539,-0.0444615,0.00822572,-0.7442107200622559,9,9216,510.87516080681235,9216
1024.0,0.967617,0.4479813,17,0,0.00672701,0.104102,25.5388,-0.0448398,0.0127138,-0.42144274711608887,10,10240,569.2943957750686,10240
1024.0,-0.150309,0.393591272727,17,0,0.00668582,0.103418,25.5151,-0.0455464,0.0102237,-0.34713947772979736,11,11264,626.576039805077,11264
1024.0,0.412467,0.39516425,18,0,0.00676835,0.109668,25.4937,-0.0449247,0.00791989,-0.4861929416656494,12,12288,681.40467432281,12288
1024.0,-0.828195,0.301059692308,17,0,0.0068088,0.107227,25.4885,-0.0419334,0.0232722,-0.0902414321899414,13,13312,740.0521346367896,13312
1024.0,0.291657,0.300388071429,18,0,0.00811593,0.134961,25.4948,-0.0481375,0.0132666,-0.28778529167175293,14,14336,796.8584422897547,14336
1024.0,2.09914,0.420304866667,18,0,0.00770821,0.125391,25.4979,-0.0484757,0.0054459,-0.7204350233078003,15,15360,853.0213893540204,15360
1024.0,3.342294,0.6029291875,18,0,0.00865595,0.148926,25.4974,-0.0524508,0.00736269,-0.40666091442108154,16,16384,909.6559247300029,16384
1024.0,0.787594,0.613791823529,18,0,0.00835197,0.133105,25.4863,-0.0485168,0.00761825,-0.3783111572265625,17,17408,965.053972966969,17408
1024.0,2.426672,0.714507388889,18,0,0.00835776,0.141797,25.4747,-0.050046,0.00770402,-0.3586611747741699,18,18432,1020.301451023668,18432
1024.0,5.979731,0.991624421053,18,0,0.00924091,0.151953,25.4651,-0.0506718,0.00758337,-0.3183279037475586,19,19456,1076.5647909748368,19456
1024.0,3.063272,1.0952068,18,0,0.00819497,0.132129,25.4617,-0.0481131,0.00883281,-0.28516972064971924,20,20480,1133.0379457240924,20480
1024.0,4.176103,1.24191614286,18,0,0.00796649,0.129785,25.4491,-0.050683,0.00603874,-0.26583802700042725,21,21504,1188.6610356918536,21504
1024.0,1.115967,1.23619118182,18,0,0.00815511,0.130469,25.4287,-0.0500567,0.00878558,0.04654490947723389,22,22528,1244.6080732550472,22528
1024.0,6.70806,1.47409852174,18,0,0.0100139,0.161426,25.3991,-0.0517107,0.00590831,-0.3673098087310791,23,23552,1300.3125683176331,23552
1024.0,3.856379,1.57336020833,18,0,0.00770885,0.122363,25.3728,-0.0448133,0.00666185,-0.2535747289657593,24,24576,1354.5761347226799,24576
1024.0,10.281725,1.9216948,18,0,0.00801583,0.127637,25.3774,-0.0455545,0.0118062,-0.1645207405090332,25,25600,1409.1599766598083,25600
1024.0,11.428028,2.287323,18,0,0.0106093,0.176563,25.3755,-0.05211,0.0385875,-0.06782937049865723,26,26624,1465.0758340819739,26624
1024.0,8.039558,2.50036874074,18,0,0.00941305,0.149219,25.3682,-0.0483066,0.00717404,-0.20538902282714844,27,27648,1520.7357398378663,27648
1024.0,7.125738,2.6655605,18,0,0.00814888,0.123633,25.3582,-0.0403664,0.0732015,0.006450295448303223,28,28672,1577.2993996059522,28672
1024.0,11.268632,2.96221813793,18,0,0.00992733,0.16123,25.3331,-0.0442916,0.0260682,-0.1491936445236206,29,29696,1633.2732068249024,29696
1024.0,12.941911,3.29487456667,18,0,0.00908874,0.141211,25.3127,-0.0475347,0.0132475,-0.25956058502197266,30,30720,1689.1348050837405,30720
1024.0,10.507662,3.52754512903,18,0,0.00815893,0.125684,25.3029,-0.0457091,0.0151789,-0.16760265827178955,31,31744,1744.9147519436665,31744
1024.0,14.412,3.86768434375,18,0,0.0106156,0.181934,25.2973,-0.0482454,0.0378168,-0.061585068702697754,32,32768,1800.2904797377996,32768
1024.0,19.100522,4.32928548485,18,0,0.00833874,0.138574,25.2913,-0.0474333,0.0183086,-0.15056312084197998,33,33792,1855.7896055346355,33792
1024.0,17.129501,4.70576241176,18,0,0.00953551,0.156738,25.2798,-0.045312,0.0373807,-0.07285809516906738,34,34816,1911.154546668753,34816
1024.0,18.190963,5.09105385714,17,0,0.00938865,0.150098,25.2725,-0.0452394,0.0112045,-0.2796456813812256,35,35840,1970.4531241538934,35840
1024.0,20.061254,5.50689275,18,0,0.00880329,0.132324,25.2576,-0.0456832,0.0218876,-0.06334519386291504,36,36864,2025.8300855909474,36864
1024.0,19.25783,5.8785397027,17,0,0.0111781,0.183887,25.2371,-0.0485,0.0232947,-0.05191516876220703,37,37888,2084.8524040100165,37888
1024.0,19.209918,6.22936544737,17,0,0.00908559,0.14375,25.2266,-0.0427632,0.0224733,-0.11235880851745605,38,38912,2142.3280473756604,38912
1024.0,22.397975,6.64394517949,18,0,0.00887427,0.135742,25.2097,-0.0439034,0.021397,-0.11268222332000732,39,39936,2199.21638745768,39936
1024.0,20.995398,7.0027315,17,0,0.00954027,0.151953,25.1636,-0.0433968,0.0265309,-0.03994894027709961,40,40960,2257.7421121029183,40960
1024.0,20.218937,7.32507797561,17,0,0.00764832,0.11084,25.1138,-0.0397373,0.0273684,0.08944427967071533,41,41984,2316.467370897997,41984
1024.0,23.71995,7.71543207143,17,0,0.00840242,0.134375,25.0741,-0.0454191,0.0257586,0.15142065286636353,42,43008,2373.7712332028896,43008
1024.0,24.290064,8.10088862791,17,0,0.00821647,0.122656,25.0435,-0.0424698,0.0278421,-0.07115507125854492,43,44032,2432.8501385860145,44032
1024.0,22.264209,8.42278227273,18,0,0.00894168,0.142773,25.0131,-0.0448544,0.0210999,0.26469749212265015,44,45056,2489.3893525488675,45056
1024.0,23.696875,8.76220655556,17,0,0.00867474,0.136035,25.002,-0.0458053,0.0272485,0.008936643600463867,45,46080,2547.647410334088,46080
1024.0,18.296057,8.96946417391,17,0,0.0106344,0.175195,24.9931,-0.0500777,0.0217697,0.33284157514572144,46,47104,2604.9084419608116,47104
1024.0,18.631149,9.17503193617,17,0,0.0101588,0.166113,24.9939,-0.0499267,0.0214573,0.6710265278816223,47,48128,2664.238841833081,48128
1024.0,22.941077,9.46182454167,17,0,0.0102553,0.168945,25.0064,-0.046256,0.0323851,0.031119465827941895,48,49152,2722.0182768567465,49152
1024.0,25.305112,9.78515693878,18,0,0.00961423,0.158398,24.9888,-0.0476526,0.0264973,0.30885040760040283,49,50176,2777.890253430698,50176
1024.0,25.697058,10.10339496,18,0,0.00906003,0.138477,24.9658,-0.0429077,0.0441238,-0.22485578060150146,50,51200,2834.5195256508887,51200
1024.0,24.32636,10.3822766275,17,0,0.00822444,0.125488,24.9488,-0.043237,0.0321063,-0.048252224922180176,51,52224,2894.004588077776,52224
1024.0,21.46456,10.5953974615,17,0,0.0101521,0.171484,24.9435,-0.0438771,0.0208532,0.5877306461334229,52,53248,2951.73947627889,53248
