# {"t_start": 1585860978.6421168, "env_id": "PhantomXLeg-v0"} 
r,l,t
-0.383889,1024,69.191514
-1.487797,1024,135.462119
-1.299597,1024,201.206657
0.578505,1024,268.088522
-0.706927,1024,334.080641
2.859337,1024,402.205845
4.796316,1024,469.674731
7.398106,1024,536.359634
6.206733,1024,604.351672
8.300886,1024,670.249591
9.912477,1024,737.50365
9.165913,1024,805.582169
14.689244,1024,873.832949
20.031244,1024,940.48686
12.010512,1024,1007.317426
19.002955,1024,1076.523366
18.568472,1024,1144.940073
17.213461,1024,1210.153307
16.307698,1024,1278.92364
22.926212,1024,1347.894795
17.395,1024,1416.426579
22.737121,1024,1482.608217
19.880828,1024,1551.821703
24.494561,1024,1619.752972
25.534296,1024,1685.703493
25.553921,1024,1753.233049
24.889926,1024,1821.055075
26.742125,1024,1889.284876
23.418443,1024,1957.182313
25.530366,1024,2025.7918
23.235453,1024,2094.057659
24.465808,1024,2162.759583
22.927176,1024,2230.914873
26.106871,1024,2299.014205
20.810971,1024,2367.823168
25.812546,1024,2436.593756
29.885249,1024,2505.196871
20.556099,1024,2573.71909
28.180131,1024,2642.427805
21.236259,1024,2710.242154
25.825744,1024,2779.780104
26.054469,1024,2848.853949
27.723599,1024,2917.913682
28.142989,1024,2983.829708
26.932737,1024,3049.907131
25.699488,1024,3118.085876
27.017232,1024,3185.705881
31.43645,1024,3252.374815
27.844988,1024,3321.194631
28.355381,1024,3386.461097
30.591222,1024,3453.898043
36.763187,1024,3520.839222
34.323557,1024,3589.260867
27.100728,1024,3657.15612
31.544092,1024,3724.21612
30.911261,1024,3792.126226
28.15813,1024,3859.677713
31.658044,1024,3925.929931
32.335136,1024,3992.258842
34.011097,1024,4059.505996
34.689864,1024,4125.830928
31.11577,1024,4191.99913
33.005956,1024,4259.091748
32.544161,1024,4328.249319
25.15929,1024,4394.291073
35.823226,1024,4461.659385
36.258727,1024,4529.695044
33.349908,1024,4596.801762
42.414471,1024,4668.623832
-28.036748,1024,4750.018232
36.345159,1024,4818.992187
30.247375,1024,4887.765976
38.31676,1024,4956.248026
37.75258,1024,5021.204166
34.243191,1024,5084.466214
30.158452,1024,5156.188001
36.687846,1024,5224.235108
38.341389,1024,5289.76686
38.310971,1024,5357.810393
37.901026,1024,5424.866765
39.294118,1024,5489.688291
38.581757,1024,5557.791217
34.153299,1024,5623.236951
49.004119,1024,5688.715388
43.679718,1024,5755.553602
45.110265,1024,5822.280092
45.593638,1024,5886.798277
36.899485,1024,5954.891034
37.792617,1024,6023.558873
45.167651,1024,6089.871007
42.924909,1024,6157.484466
35.822629,1024,6224.47055
48.874454,1024,6290.390469
49.254603,1024,6358.034121
41.192747,1024,6426.605312
43.498967,1024,6490.736508
23.461224,1024,6556.539969
54.572731,1024,6620.536487
29.739242,1024,6683.027225
54.561883,1024,6746.990675
31.865454,1024,6813.807068
28.86777,1024,6877.451227
48.632389,1024,6943.346899
21.997806,1024,7003.978127
17.368317,1024,7067.197587
49.453352,1024,7131.190442
50.218443,1024,7196.727747
38.279784,1024,7259.808273
42.325948,1024,7323.900265
44.938386,1024,7388.006931
34.609792,1024,7450.756609
47.073894,1024,7515.139229
38.372384,1024,7577.928674
49.269482,1024,7641.143167
39.762348,1024,7702.998577
46.878678,1024,7766.187657
28.419626,1024,7832.202034
-16.020817,613,7872.479408
20.084542,1024,7934.2199
52.683477,1024,7999.610905
43.969601,1024,8063.343969
51.689251,1024,8125.256169
40.194407,1024,8186.771159
43.421314,1024,8252.494295
49.101715,1024,8318.263114
48.622555,1024,8380.452272
21.01071,1024,8441.836591
37.421123,1024,8506.672632
42.725418,1024,8571.531457
44.522039,1024,8636.417005
64.394618,1024,8699.574342
53.182607,1024,8761.719796
41.222805,1024,8822.692459
55.099118,1024,8884.988416
-1142.942126,1024,8923.651315
-16.208836,1024,9002.51587
49.809756,1024,9066.350116
57.157742,1024,9126.998278
43.077533,1024,9188.791955
48.949127,1024,9249.386325
27.484041,1024,9311.474979
54.017048,1024,9374.171009
42.804575,1024,9437.679033
62.141965,1024,9500.914045
64.308324,1024,9565.938766
55.769999,1024,9626.971613
56.846498,1024,9687.574488
37.891584,1024,9750.709521
41.836266,1024,9817.68725
48.347951,1024,9878.746292
41.847408,1024,9937.662282
66.573949,1024,10002.638746
56.094107,1024,10066.26747
40.182738,1024,10133.160813
65.058865,1024,10199.622507
62.371983,1024,10267.846001
49.072647,1024,10330.113795
40.325814,1024,10393.988293
47.048904,1024,10454.916793
67.155078,1024,10519.393298
47.313788,1024,10581.715451
43.657266,1024,10643.744711
68.677714,1024,10707.494546
42.574395,1024,10770.19793
54.916696,1024,10832.186344
49.268073,1024,10895.299811
57.123846,1024,10956.727551
60.355149,1024,11021.112116
63.729621,1024,11084.651087
59.438928,1024,11147.367799
68.128591,1024,11209.759797
73.485053,1024,11272.601079
67.423897,1024,11335.457857
60.79066,1024,11396.00055
46.061491,1024,11458.149025
64.203044,1024,11522.48745
40.494484,1024,11584.040219
62.700048,1024,11646.341563
52.242849,1024,11710.011461
34.328526,1024,11774.140864
56.029869,1024,11838.572736
58.014095,1024,11898.694963
35.953076,1024,11962.545517
32.23261,1024,12022.595324
21.944367,1024,12078.977638
33.48817,1024,12145.872804
44.253489,1024,12208.322413
71.644993,1024,12273.908453
34.963736,1024,12337.596534
53.258998,1024,12403.869471
36.361747,1024,12464.849429
-491.028362,1024,12501.611256
76.298554,1024,12566.760092
68.766056,1024,12628.166827
54.27421,1024,12691.577962
66.686576,1024,12753.940104
65.401733,1024,12813.071695
76.291339,1024,12876.671046
61.046067,1024,12940.956522
69.750339,1024,12999.918633
78.472698,1024,13063.493784
47.888279,1024,13127.679454
45.827671,1024,13192.914254
79.195068,1024,13254.998531
65.56704,1024,13315.79879
63.996105,1024,13378.32375
35.42003,1024,13438.326324
66.698412,1024,13504.184093
32.879104,1024,13571.330354
75.915389,1024,13634.208741
63.459171,1024,13698.851844
80.367824,1024,13760.24132
63.354066,1024,13819.854533
53.455878,1024,13881.110445
75.771378,1024,13943.946706
60.899219,1024,14007.461377
47.00393,1024,14071.872374
62.934665,1024,14131.085471
85.836792,1024,14191.098817
73.147718,1024,14254.487352
55.310641,1024,14311.634234
60.760006,1024,14373.80345
