# {"t_start": 1585045284.5105295, "env_id": "PhantomXLeg-v0"} 
r,l,t
-2.369232,1024,70.139552
-0.864568,1024,137.566623
2.633138,1024,202.877979
0.301911,1024,270.762758
-0.527998,1024,336.251502
3.777388,1024,401.129126
4.42088,1024,467.660215
4.403506,1024,534.838758
5.703489,1024,601.381687
6.899272,1024,668.39803
7.006246,1024,734.997355
8.062591,1024,802.358312
11.173661,1024,870.470802
17.394953,1024,936.654829
13.158246,1024,1004.377326
19.142507,1024,1072.197306
18.03245,1024,1140.796275
20.75562,1024,1208.976672
24.632969,1024,1278.916483
17.748187,1024,1347.668482
24.463654,1024,1417.359928
27.644185,1024,1486.098335
25.753329,1024,1555.273361
28.247065,1024,1622.327931
28.213101,1024,1691.312794
31.237088,1024,1759.485387
29.514868,1024,1828.594519
29.366286,1024,1896.839544
34.615374,1024,1964.340753
32.202908,1024,2032.175449
31.657637,1024,2099.047636
32.131519,1024,2168.862905
25.484221,1024,2239.003034
28.985459,1024,2308.582956
31.718634,1024,2376.222766
24.69303,1024,2444.711272
31.670814,1024,2513.122108
31.010501,1024,2583.062707
34.614599,1024,2650.315632
32.300367,1024,2718.968919
7.440005,1024,2777.585727
24.881979,1024,2847.53047
35.286361,1024,2916.859684
30.000414,1024,2985.145583
36.830372,1024,3053.965203
35.817258,1024,3121.012346
34.883699,1024,3190.250437
34.807388,1024,3256.229861
42.841876,1024,3323.612694
30.319796,1024,3391.709949
29.952029,1024,3459.227147
32.386895,1024,3529.683008
27.826322,1024,3600.417284
36.164929,1024,3668.446557
37.41644,1024,3737.710526
23.694907,1024,3807.46425
37.907596,1024,3875.92661
34.562729,1024,3947.13735
39.149012,1024,4015.642406
24.099909,1024,4085.801905
39.762426,1024,4155.365864
40.935614,1024,4224.622283
41.585798,1024,4295.018616
34.010269,1024,4362.651446
41.067027,1024,4429.572879
36.004374,1024,4497.257589
36.1511,1024,4568.555305
41.352776,1024,4637.376449
38.058386,1024,4706.282187
41.376435,1024,4774.691202
34.434244,1024,4843.559101
44.787774,1024,4911.657479
30.480696,1024,4981.809394
38.54356,1024,5050.948162
38.880886,1024,5120.110094
39.833979,1024,5190.467416
40.985363,1024,5261.107165
38.991618,1024,5330.350158
37.232832,1024,5400.481988
45.110027,1024,5468.194641
47.176497,1024,5536.449344
37.741929,1024,5604.91798
39.23654,1024,5673.851189
42.809034,1024,5741.779142
36.266355,1024,5810.344533
46.735621,1024,5876.242184
46.136715,1024,5941.960633
46.698907,1024,6010.430137
50.09432,1024,6077.91727
48.738202,1024,6145.415786
43.070936,1024,6214.724078
38.503266,1024,6283.590506
52.960106,1024,6351.794278
43.207827,1024,6420.678942
43.328446,1024,6487.90607
40.131592,1024,6555.751573
41.741706,1024,6622.920138
40.688219,1024,6688.205453
33.373032,1024,6760.657387
58.644518,1024,6828.352043
40.447116,1024,6893.669682
47.253174,1024,6959.639191
52.954728,1024,7028.021812
58.66268,1024,7094.735134
56.711859,1024,7162.655919
43.411906,1024,7231.227108
35.657056,1024,7295.382185
33.434641,1024,7367.216199
40.749482,1024,7436.83495
29.603105,1024,7503.951051
26.66936,1024,7569.328933
41.351084,1024,7635.701583
32.780456,1024,7697.438725
36.592735,1024,7761.092455
44.409879,1024,7829.452888
46.015856,1024,7897.849285
32.99165,1024,7967.173576
44.852784,1024,8034.673028
39.53087,1024,8100.608145
38.546958,1024,8165.236161
48.138507,1024,8231.109252
41.297104,1024,8299.029453
59.59579,1024,8366.869954
62.171918,1024,8432.347267
25.965352,1024,8489.264711
44.683325,1024,8555.744399
39.676245,1024,8621.368476
56.736053,1024,8686.918624
57.165064,1024,8752.908044
51.390238,1024,8817.594321
38.108852,1024,8880.228042
33.790954,1024,8945.903126
23.975486,1024,9003.911423
51.417799,1024,9069.054999
55.009325,1024,9131.431518
62.074414,1024,9196.731463
61.903003,1024,9261.925042
60.930353,1024,9326.732577
30.485769,1024,9392.325674
50.867294,1024,9456.476169
62.298536,1024,9523.260738
72.458911,1024,9588.849449
68.752165,1024,9654.257679
50.351208,1024,9718.057804
64.631065,1024,9781.429132
69.931282,1024,9846.969052
55.079533,1024,9910.489766
61.757853,1024,9974.311015
34.408129,1024,10043.822604
57.951603,1024,10108.097343
18.053788,1024,10173.686663
36.123013,1024,10237.746385
64.397788,1024,10300.757854
51.574123,1024,10365.898461
24.44834,1024,10425.358634
46.682214,1024,10488.562406
64.072204,1024,10551.355995
54.317699,1024,10616.217759
71.064804,1024,10677.694753
68.161311,1024,10742.466076
57.472576,1024,10802.335323
64.695862,1024,10864.702021
61.968914,1024,10925.139345
58.813816,1024,10988.440606
55.828117,1024,11053.035305
63.151156,1024,11115.433725
58.728826,1024,11179.138956
49.449545,1024,11244.256312
54.489662,1024,11307.028475
59.557969,1024,11373.698101
53.249536,1024,11437.747608
53.616164,1024,11499.020787
61.061057,1024,11563.279288
33.4421,1024,11627.887491
64.41346,1024,11695.29007
40.343733,1024,11756.178222
53.16668,1024,11821.556788
44.578634,1024,11885.433391
72.935936,1024,11948.987676
57.349345,1024,12013.339009
61.257743,1024,12076.20465
79.775939,1024,12137.257172
81.357372,1024,12201.237372
51.692876,1024,12265.691206
75.658567,1024,12328.200421
50.18593,1024,12394.071867
73.486359,1024,12455.412937
70.018577,1024,12517.419477
71.465771,1024,12581.823162
66.694685,1024,12645.183855
52.702386,1024,12707.960429
56.311336,1024,12770.348074
73.544609,1024,12833.80961
85.939937,1024,12898.96249
70.163822,1024,12964.064658
73.422546,1024,13027.744793
32.79784,1024,13093.424676
80.992946,1024,13156.630065
76.89219,1024,13222.597041
71.120259,1024,13284.282008
38.927122,1024,13350.181741
67.927574,1024,13414.184948
32.96886,1024,13481.484824
55.3266,1024,13542.672021
56.44948,1024,13606.649452
72.093813,1024,13669.00216
77.202223,1024,13733.100142
65.304003,1024,13796.421693
61.391394,1024,13860.204342
81.563914,1024,13923.742934
56.521214,1024,13990.118423
54.163927,1024,14052.771321
79.36027,1024,14115.68432
54.10421,1024,14178.849906
42.982053,1024,14244.756178
78.923883,1024,14305.899716
69.31374,1024,14368.141286
70.931872,1024,14430.325837
67.321719,1024,14493.908458
84.361218,1024,14559.775627
81.380296,1024,14623.155718
51.918088,1024,14687.411316
79.209318,1024,14752.773798
114.252994,1024,14805.887001
55.09462,1024,14867.543692
90.315621,1024,14928.293669
62.36875,1024,14990.5051
72.591521,1024,15054.534619
53.522594,1024,15116.981059
36.676135,1024,15179.470803
91.342663,1024,15240.199487
58.6777,1024,15302.406197
61.391598,1024,15367.830411
65.929011,1024,15434.116962
81.673112,1024,15495.892646
54.949762,1024,15559.386625
86.48556,1024,15620.868007
54.187376,1024,15682.931692
87.992594,1024,15744.064222
84.909648,1024,15804.603889
110.434813,1024,15866.874155
99.670623,1024,15930.2887
109.616679,1024,15991.075377
104.115231,1024,16052.832317
17.101782,1024,16116.542038
99.449517,1024,16177.636139
50.882276,1024,16239.293209
-32.935974,1024,16299.096574
104.597768,1024,16361.145785
97.511164,1024,16426.739789
90.434771,1024,16488.303223
75.34869,1024,16550.980005
98.832419,1024,16609.938208
124.487323,1024,16671.708519
101.045593,1024,16734.609168
107.33749,1024,16795.970749
122.194507,1024,16856.356966
114.205663,1024,16916.311679
88.851061,1024,16977.492824
118.456225,1024,17039.474527
102.703917,1024,17100.404534
102.520537,1024,17161.985223
14.107162,1024,17221.411702
119.001229,1024,17280.916952
84.975059,1024,17340.075002
93.00177,1024,17400.294955
130.615514,1024,17460.730404
106.920158,1024,17523.106032
117.838495,1024,17583.253196
71.597216,1024,17642.878302
88.540286,1024,17703.045085
103.586056,1024,17763.130829
108.761724,1024,17822.946154
108.943075,1024,17884.308702
127.089947,1024,17942.726618
68.820777,1024,18003.865819
108.773458,1024,18065.474327
95.217455,1024,18124.673201
119.494421,1024,18185.141241
135.862298,1024,18243.060834
119.857565,1024,18300.740741
103.364883,1024,18360.552416
73.654615,1024,18418.421708
113.65717,1024,18475.177672
75.1971,1024,18534.604122
109.752023,1024,18593.644562
121.0943,1024,18647.694047
114.845096,1024,18701.592169
91.713591,1024,18759.937274
136.733385,1024,18816.472937
149.7727,1024,18871.974072
122.662795,1024,18927.731068
140.327856,1024,18984.844159
121.902141,1024,19041.234278
118.797647,1024,19097.808077
127.856249,1024,19153.84355
134.02502,1024,19210.034723
121.002291,1024,19268.078004
125.943328,1024,19323.404756
107.55214,1024,19384.159342
138.352248,1024,19439.586255
147.012921,1024,19497.919326
57.443798,1024,19554.748923
116.462291,1024,19614.104162
106.819675,1024,19671.163869
122.301082,1024,19727.098957
114.455672,1024,19785.528796
137.389262,1024,19841.151801
155.816146,1024,19896.591976
84.275699,1024,19953.526184
151.857134,1024,20007.192084
105.116655,1024,20063.504261
151.37169,1024,20120.867072
129.179822,1024,20179.250683
157.194207,1024,20235.016559
114.930438,1024,20295.09507
118.43915,1024,20350.246722
121.873354,1024,20409.32734
139.408328,1024,20462.839187
166.607587,1024,20517.147467
105.507451,1024,20573.940651
157.452018,1024,20630.513774
173.354618,1024,20684.035975
147.932194,1024,20737.375943
198.106182,1024,20788.683212
125.069537,1024,20840.933843
151.773715,1024,20892.531088
198.0497,1024,20946.300585
170.159524,1024,20997.958588
151.421609,1024,21053.878623
178.5505,1024,21107.679762
160.73096,1024,21163.774374
163.040437,1024,21217.743401
148.550835,1024,21273.093232
179.916487,1024,21327.130165
