# {"t_start": 1585045284.5115924, "env_id": "PhantomXLeg-v0"} 
r,l,t
-2.369232,1024,70.138673
-0.864568,1024,137.56467
2.633138,1024,202.875804
0.301911,1024,270.762242
-0.527998,1024,336.250789
3.777388,1024,401.128789
4.42088,1024,467.659444
4.403506,1024,534.837463
5.703489,1024,601.381789
6.899272,1024,668.39673
7.006246,1024,734.997659
8.062591,1024,802.356701
11.173661,1024,870.469918
17.394953,1024,936.653406
13.158246,1024,1004.374902
19.142507,1024,1072.195915
18.03245,1024,1140.794931
20.75562,1024,1208.975878
24.632969,1024,1278.916611
17.748187,1024,1347.666976
24.463654,1024,1417.359192
27.644185,1024,1486.096238
25.753329,1024,1555.27242
28.247065,1024,1622.326215
28.213101,1024,1691.310915
31.237088,1024,1759.483248
29.514868,1024,1828.592955
29.366286,1024,1896.839002
34.615374,1024,1964.340687
32.202908,1024,2032.174674
31.657637,1024,2099.045613
32.131519,1024,2168.862259
25.484221,1024,2239.00209
28.985459,1024,2308.582206
31.718634,1024,2376.2215
24.69303,1024,2444.710557
31.670814,1024,2513.121448
31.010501,1024,2583.060936
34.614599,1024,2650.314768
32.300367,1024,2718.968619
7.440005,1024,2777.585334
24.881979,1024,2847.529246
35.286361,1024,2916.85876
30.000414,1024,2985.14508
36.830372,1024,3053.964725
35.817258,1024,3121.010629
34.883699,1024,3190.249431
34.807388,1024,3256.22913
42.841876,1024,3323.612129
30.319796,1024,3391.707778
29.952029,1024,3459.226414
32.386895,1024,3529.681697
27.826322,1024,3600.416567
36.164929,1024,3668.445642
37.41644,1024,3737.709266
23.694907,1024,3807.463372
37.907596,1024,3875.924899
34.562729,1024,3947.136823
39.149012,1024,4015.642564
24.099909,1024,4085.801326
39.762426,1024,4155.365121
40.935614,1024,4224.621651
41.585798,1024,4295.017177
34.010269,1024,4362.650033
41.067027,1024,4429.572107
36.004374,1024,4497.256674
36.1511,1024,4568.554474
41.352776,1024,4637.374674
38.058386,1024,4706.280101
41.376435,1024,4774.689757
34.434244,1024,4843.558232
44.787774,1024,4911.656096
30.480696,1024,4981.80734
38.54356,1024,5050.946189
38.880886,1024,5120.108794
39.833979,1024,5190.466606
40.985363,1024,5261.104887
38.991618,1024,5330.348882
37.232832,1024,5400.479576
45.110027,1024,5468.19371
47.176497,1024,5536.447865
37.741929,1024,5604.916638
39.23654,1024,5673.849705
42.809034,1024,5741.778183
36.266355,1024,5810.343182
46.735621,1024,5876.240947
46.136715,1024,5941.958834
46.698907,1024,6010.429433
50.09432,1024,6077.915789
48.738202,1024,6145.415575
43.070936,1024,6214.722531
38.503266,1024,6283.588974
52.960106,1024,6351.793924
43.207827,1024,6420.678133
43.328446,1024,6487.904586
40.131592,1024,6555.75079
41.741706,1024,6622.919221
40.688219,1024,6688.203912
33.373032,1024,6760.655919
58.644518,1024,6828.351335
40.447116,1024,6893.668174
47.253174,1024,6959.639174
52.954728,1024,7028.020986
58.66268,1024,7094.733606
56.711859,1024,7162.655075
43.411906,1024,7231.226443
35.657056,1024,7295.380502
33.434641,1024,7367.21493
40.749482,1024,7436.833433
29.603105,1024,7503.949434
26.66936,1024,7569.327672
41.351084,1024,7635.701444
32.780456,1024,7697.438654
36.592735,1024,7761.092181
44.409879,1024,7829.451156
46.015856,1024,7897.848581
32.99165,1024,7967.172099
44.852784,1024,8034.672515
39.53087,1024,8100.607226
38.546958,1024,8165.23596
48.138507,1024,8231.108623
41.297104,1024,8299.027866
59.59579,1024,8366.868212
62.171918,1024,8432.346258
25.965352,1024,8489.26371
44.683325,1024,8555.744198
39.676245,1024,8621.366507
56.736053,1024,8686.918118
57.165064,1024,8752.906452
51.390238,1024,8817.592582
38.108852,1024,8880.226373
33.790954,1024,8945.90325
23.975486,1024,9003.911265
51.417799,1024,9069.053337
55.009325,1024,9131.430123
62.074414,1024,9196.730094
61.903003,1024,9261.923574
60.930353,1024,9326.730947
30.485769,1024,9392.324793
50.867294,1024,9456.474703
62.298536,1024,9523.25923
72.458911,1024,9588.848006
68.752165,1024,9654.256022
50.351208,1024,9718.056495
64.631065,1024,9781.42703
69.931282,1024,9846.968158
55.079533,1024,9910.488475
61.757853,1024,9974.310638
34.408129,1024,10043.820539
57.951603,1024,10108.096753
18.053788,1024,10173.686031
36.123013,1024,10237.74409
64.397788,1024,10300.757563
51.574123,1024,10365.897524
24.44834,1024,10425.356668
46.682214,1024,10488.561652
64.072204,1024,10551.354599
54.317699,1024,10616.216295
71.064804,1024,10677.693508
68.161311,1024,10742.46453
57.472576,1024,10802.33366
64.695862,1024,10864.700712
61.968914,1024,10925.137974
58.813816,1024,10988.439198
55.828117,1024,11053.034423
63.151156,1024,11115.431894
58.728826,1024,11179.138821
49.449545,1024,11244.255871
54.489662,1024,11307.027815
59.557969,1024,11373.696356
53.249536,1024,11437.74625
53.616164,1024,11499.019304
61.061057,1024,11563.27835
33.4421,1024,11627.885532
64.41346,1024,11695.288562
40.343733,1024,11756.176441
53.16668,1024,11821.555884
44.578634,1024,11885.432828
72.935936,1024,11948.985608
57.349345,1024,12013.33747
