# {"t_start": 1585045284.5124085, "env_id": "PhantomXLeg-v0"} 
r,l,t
-2.369232,1024,70.138145
-0.864568,1024,137.564259
2.633138,1024,202.875234
0.301911,1024,270.761566
-0.527998,1024,336.249738
3.777388,1024,401.127787
4.42088,1024,467.658535
4.403506,1024,534.83596
5.703489,1024,601.380276
6.899272,1024,668.396351
7.006246,1024,734.996935
8.062591,1024,802.356097
11.173661,1024,870.468396
17.394953,1024,936.652762
13.158246,1024,1004.374929
19.142507,1024,1072.195661
18.03245,1024,1140.794597
20.75562,1024,1208.975273
24.632969,1024,1278.915161
17.748187,1024,1347.667111
24.463654,1024,1417.357759
27.644185,1024,1486.096234
25.753329,1024,1555.271065
28.247065,1024,1622.32664
28.213101,1024,1691.310536
31.237088,1024,1759.483345
29.514868,1024,1828.592418
29.366286,1024,1896.838053
34.615374,1024,1964.339641
32.202908,1024,2032.173216
31.657637,1024,2099.045555
32.131519,1024,2168.860832
25.484221,1024,2239.000065
28.985459,1024,2308.580846
31.718634,1024,2376.220484
24.69303,1024,2444.709176
31.670814,1024,2513.119933
31.010501,1024,2583.059819
34.614599,1024,2650.314717
32.300367,1024,2718.967464
7.440005,1024,2777.584327
24.881979,1024,2847.52828
35.286361,1024,2916.858434
30.000414,1024,2985.14356
36.830372,1024,3053.963032
35.817258,1024,3121.010629
34.883699,1024,3190.248262
34.807388,1024,3256.228621
42.841876,1024,3323.610693
30.319796,1024,3391.707171
29.952029,1024,3459.225068
32.386895,1024,3529.681375
27.826322,1024,3600.415957
36.164929,1024,3668.444439
37.41644,1024,3737.70869
23.694907,1024,3807.461553
37.907596,1024,3875.924895
34.562729,1024,3947.135783
39.149012,1024,4015.64155
24.099909,1024,4085.800288
39.762426,1024,4155.364661
40.935614,1024,4224.62072
41.585798,1024,4295.015979
34.010269,1024,4362.648888
41.067027,1024,4429.570463
36.004374,1024,4497.256085
36.1511,1024,4568.55286
41.352776,1024,4637.375229
38.058386,1024,4706.280223
41.376435,1024,4774.689463
34.434244,1024,4843.557865
44.787774,1024,4911.655142
30.480696,1024,4981.807297
38.54356,1024,5050.945841
38.880886,1024,5120.107423
39.833979,1024,5190.464699
40.985363,1024,5261.104516
38.991618,1024,5330.349029
37.232832,1024,5400.479765
45.110027,1024,5468.193277
47.176497,1024,5536.447864
37.741929,1024,5604.91539
39.23654,1024,5673.849476
42.809034,1024,5741.776181
36.266355,1024,5810.343231
46.735621,1024,5876.240975
46.136715,1024,5941.958405
46.698907,1024,6010.428823
50.09432,1024,6077.914578
48.738202,1024,6145.413617
43.070936,1024,6214.721535
38.503266,1024,6283.588868
52.960106,1024,6351.792613
43.207827,1024,6420.676828
43.328446,1024,6487.904046
40.131592,1024,6555.749292
41.741706,1024,6622.918674
40.688219,1024,6688.20332
33.373032,1024,6760.654948
58.644518,1024,6828.350766
40.447116,1024,6893.66802
47.253174,1024,6959.638196
52.954728,1024,7028.019229
58.66268,1024,7094.732457
56.711859,1024,7162.653377
43.411906,1024,7231.225404
35.657056,1024,7295.379279
33.434641,1024,7367.214566
40.749482,1024,7436.832274
29.603105,1024,7503.949408
26.66936,1024,7569.326728
41.351084,1024,7635.700843
32.780456,1024,7697.43756
36.592735,1024,7761.090851
44.409879,1024,7829.451226
46.015856,1024,7897.847177
32.99165,1024,7967.171983
44.852784,1024,8034.67181
39.53087,1024,8100.607533
38.546958,1024,8165.234958
48.138507,1024,8231.10791
41.297104,1024,8299.027188
59.59579,1024,8366.868165
62.171918,1024,8432.345923
25.965352,1024,8489.26319
44.683325,1024,8555.743009
39.676245,1024,8621.365929
56.736053,1024,8686.917531
57.165064,1024,8752.906347
51.390238,1024,8817.592044
38.108852,1024,8880.225381
33.790954,1024,8945.901438
23.975486,1024,9003.909735
51.417799,1024,9069.052098
55.009325,1024,9131.429968
62.074414,1024,9196.729985
61.903003,1024,9261.923341
60.930353,1024,9326.731274
30.485769,1024,9392.323422
50.867294,1024,9456.473243
62.298536,1024,9523.258193
72.458911,1024,9588.847062
68.752165,1024,9654.255639
50.351208,1024,9718.056381
64.631065,1024,9781.426969
69.931282,1024,9846.966928
55.079533,1024,9910.487508
61.757853,1024,9974.309437
34.408129,1024,10043.820956
57.951603,1024,10108.094643
18.053788,1024,10173.685067
36.123013,1024,10237.744929
64.397788,1024,10300.75717
51.574123,1024,10365.896931
24.44834,1024,10425.356891
46.682214,1024,10488.560273
64.072204,1024,10551.354302
54.317699,1024,10616.214834
71.064804,1024,10677.693151
68.161311,1024,10742.463562
57.472576,1024,10802.334016
64.695862,1024,10864.700224
61.968914,1024,10925.13705
58.813816,1024,10988.437818
55.828117,1024,11053.032308
63.151156,1024,11115.432013
58.728826,1024,11179.137819
49.449545,1024,11244.254713
54.489662,1024,11307.025935
59.557969,1024,11373.69534
53.249536,1024,11437.745646
53.616164,1024,11499.01825
61.061057,1024,11563.276671
33.4421,1024,11627.88581
64.41346,1024,11695.288731
40.343733,1024,11756.176483
53.16668,1024,11821.555269
44.578634,1024,11885.432401
72.935936,1024,11948.985002
57.349345,1024,12013.337896
61.257743,1024,12076.203126
79.775939,1024,12137.255552
81.357372,1024,12201.235212
51.692876,1024,12265.689886
75.658567,1024,12328.198302
50.18593,1024,12394.070288
73.486359,1024,12455.41087
70.018577,1024,12517.416919
71.465771,1024,12581.822096
66.694685,1024,12645.18208
52.702386,1024,12707.958804
56.311336,1024,12770.346012
73.544609,1024,12833.807388
85.939937,1024,12898.959476
70.163822,1024,12964.06414
73.422546,1024,13027.742606
32.79784,1024,13093.422588
80.992946,1024,13156.628938
76.89219,1024,13222.595347
71.120259,1024,13284.279311
38.927122,1024,13350.17925
67.927574,1024,13414.183812
32.96886,1024,13481.483139
55.3266,1024,13542.670622
56.44948,1024,13606.647866
72.093813,1024,13669.000107
77.202223,1024,13733.097759
65.304003,1024,13796.420008
61.391394,1024,13860.20312
81.563914,1024,13923.740365
56.521214,1024,13990.116316
54.163927,1024,14052.770364
79.36027,1024,14115.682965
54.10421,1024,14178.847744
42.982053,1024,14244.754162
78.923883,1024,14305.897086
69.31374,1024,14368.138819
70.931872,1024,14430.324624
67.321719,1024,14493.907635
84.361218,1024,14559.774302
81.380296,1024,14623.154221
51.918088,1024,14687.408222
79.209318,1024,14752.771052
114.252994,1024,14805.884675
55.09462,1024,14867.542407
90.315621,1024,14928.290772
62.36875,1024,14990.502434
72.591521,1024,15054.531844
53.522594,1024,15116.979699
36.676135,1024,15179.468097
91.342663,1024,15240.196824
58.6777,1024,15302.405098
61.391598,1024,15367.82764
65.929011,1024,15434.11426
81.673112,1024,15495.890227
54.949762,1024,15559.385185
86.48556,1024,15620.865676
54.187376,1024,15682.929485
87.992594,1024,15744.061477
84.909648,1024,15804.600889
110.434813,1024,15866.8728
99.670623,1024,15930.287311
109.616679,1024,15991.072312
104.115231,1024,16052.831239
17.101782,1024,16116.539991
99.449517,1024,16177.635288
50.882276,1024,16239.291844
-32.935974,1024,16299.093678
104.597768,1024,16361.143625
97.511164,1024,16426.737736
90.434771,1024,16488.30081
75.34869,1024,16550.97753
98.832419,1024,16609.93546
124.487323,1024,16671.707704
101.045593,1024,16734.607083
107.33749,1024,16795.968697
122.194507,1024,16856.354239
114.205663,1024,16916.309549
88.851061,1024,16977.491595
118.456225,1024,17039.473033
102.703917,1024,17100.401315
102.520537,1024,17161.983533
14.107162,1024,17221.409433
119.001229,1024,17280.914228
84.975059,1024,17340.072232
93.00177,1024,17400.292369
130.615514,1024,17460.728242
106.920158,1024,17523.104897
117.838495,1024,17583.251077
71.597216,1024,17642.87701
88.540286,1024,17703.043043
103.586056,1024,17763.128202
108.761724,1024,17822.944533
108.943075,1024,17884.307018
127.089947,1024,17942.725376
68.820777,1024,18003.864917
108.773458,1024,18065.472772
95.217455,1024,18124.671801
119.494421,1024,18185.139553
135.862298,1024,18243.059889
119.857565,1024,18300.738219
103.364883,1024,18360.550322
73.654615,1024,18418.419101
113.65717,1024,18475.175999
75.1971,1024,18534.602555
109.752023,1024,18593.6429
121.0943,1024,18647.692479
114.845096,1024,18701.59002
91.713591,1024,18759.936206
136.733385,1024,18816.470563
149.7727,1024,18871.971747
122.662795,1024,18927.728629
140.327856,1024,18984.842572
121.902141,1024,19041.23194
118.797647,1024,19097.805996
127.856249,1024,19153.840586
134.02502,1024,19210.032425
121.002291,1024,19268.076901
125.943328,1024,19323.403073
107.55214,1024,19384.157839
138.352248,1024,19439.585103
147.012921,1024,19497.918588
57.443798,1024,19554.746809
116.462291,1024,19614.102079
106.819675,1024,19671.161759
122.301082,1024,19727.097693
114.455672,1024,19785.527229
137.389262,1024,19841.149822
155.816146,1024,19896.590728
84.275699,1024,19953.524498
151.857134,1024,20007.189872
105.116655,1024,20063.503368
151.37169,1024,20120.864171
129.179822,1024,20179.249139
