# {"t_start": 1585045446.6335053, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.387958,1024,69.740235
-1.840975,1024,138.353096
-2.167207,1024,205.682268
-0.458446,1024,272.025698
1.377489,1024,338.397241
3.518794,1024,404.411768
6.565324,1024,471.118911
5.431133,1024,537.44847
3.69571,1024,603.705668
4.992424,1024,671.160445
7.310493,1024,737.208182
7.303421,1024,805.397985
7.093287,1024,871.506849
13.673566,1024,937.272154
14.323014,1024,1005.332902
19.913714,1024,1070.79335
36.507213,1024,1136.040511
15.136763,1024,1201.820556
18.769897,1024,1268.689978
20.138356,1024,1337.306642
19.8332,1024,1404.275829
23.356499,1024,1474.02281
20.406626,1024,1541.222275
24.202815,1024,1607.803379
21.736649,1024,1675.904029
21.910357,1024,1741.981663
25.722322,1024,1806.749671
25.941518,1024,1877.425699
27.52707,1024,1943.538783
25.523565,1024,2011.793303
21.828379,1024,2079.151334
25.224166,1024,2147.826488
26.201342,1024,2216.848256
28.21482,1024,2288.292795
29.569597,1024,2356.22968
23.336734,1024,2424.909807
-391.914021,1024,2466.518932
27.60306,1024,2534.458584
25.131382,1024,2603.674004
20.206237,1024,2682.236348
28.841074,1024,2750.035462
29.033313,1024,2817.024478
27.337313,1024,2887.561751
28.720427,1024,2956.228935
30.539551,1024,3022.180044
33.561303,1024,3092.233538
33.43057,1024,3159.607104
28.144686,1024,3228.329597
31.459369,1024,3294.097018
31.105795,1024,3361.372642
23.748231,1024,3430.215305
31.415466,1024,3497.642226
35.916977,1024,3567.321086
27.205819,1024,3636.979917
32.737173,1024,3705.773487
30.965309,1024,3773.06291
33.597291,1024,3840.915758
30.481336,1024,3907.951976
35.514996,1024,3975.598534
23.233027,1024,4039.879359
10.385486,1024,4105.83174
32.707927,1024,4172.997653
39.608698,1024,4238.691174
36.549491,1024,4306.443717
38.133983,1024,4375.771772
31.780391,1024,4441.864267
27.630351,1024,4510.304513
34.260191,1024,4576.461646
33.466677,1024,4642.293081
10.051424,1024,4701.326941
37.080367,1024,4770.612137
10.731691,1024,4834.550217
40.398702,1024,4902.440552
38.325618,1024,4969.289394
37.528305,1024,5035.031839
36.298882,1024,5100.908048
35.771901,1024,5167.036872
15.216479,1024,5231.203803
34.372533,1024,5298.888866
33.927789,1024,5364.8617
28.697712,1024,5432.39129
35.751487,1024,5498.214333
33.471839,1024,5566.866275
30.051065,1024,5635.819818
25.063352,1024,5705.032343
34.511747,1024,5774.299594
38.133761,1024,5841.375139
34.404723,1024,5909.402975
37.385264,1024,5975.266229
36.953186,1024,6041.393445
34.611689,1024,6110.13939
28.598425,1024,6172.348624
40.258956,1024,6239.44592
40.859353,1024,6305.877635
40.103221,1024,6372.43363
39.030641,1024,6440.161457
34.160579,1024,6503.835953
33.559558,1024,6572.980165
40.363968,1024,6642.333289
33.081568,1024,6703.635279
35.798714,1024,6769.591883
39.864513,1024,6835.8575
47.280402,1024,6901.190113
29.19733,1024,6960.188641
37.597535,1024,7027.529089
35.906628,1024,7096.01304
40.963853,1024,7161.274881
34.098526,1024,7223.593932
34.868201,1024,7288.952294
38.077638,1024,7359.434479
35.142983,1024,7424.108293
40.731802,1024,7489.739887
36.779613,1024,7553.225628
36.030534,1024,7617.971502
40.702844,1024,7684.290903
40.227706,1024,7755.092988
46.880676,1024,7822.80115
40.947367,1024,7889.197006
45.998025,1024,7954.745069
40.48548,1024,8022.728633
37.364958,1024,8086.555553
43.450208,1024,8153.93755
44.173917,1024,8223.715245
39.805742,1024,8290.85917
35.150235,1024,8357.509392
38.805932,1024,8420.558702
39.858673,1024,8486.451982
40.178297,1024,8548.268739
40.346175,1024,8613.750794
40.96918,1024,8683.869243
46.074586,1024,8750.730108
28.521571,1024,8817.391354
40.250977,1024,8881.17763
44.53553,1024,8949.044183
52.666542,1024,9015.026932
51.529031,1024,9081.501523
45.477192,1024,9147.805148
53.339918,1024,9214.566873
50.922731,1024,9281.701098
47.731875,1024,9348.354568
58.864684,1024,9413.382059
54.224196,1024,9476.228977
59.605729,1024,9540.455611
48.250016,1024,9604.88222
41.091051,1024,9667.496147
32.820595,1024,9731.460546
40.135013,1024,9793.651837
58.805787,1024,9859.070567
38.003077,1024,9923.887755
46.435495,1024,9988.230968
57.45294,1024,10050.16374
51.655057,1024,10113.129659
52.773563,1024,10175.823385
59.455647,1024,10240.474547
47.17543,1024,10303.868258
49.51768,1024,10369.608063
18.621989,1024,10435.570527
26.197564,1024,10501.188699
49.432948,1024,10569.433098
53.19906,1024,10631.308026
20.881962,1024,10697.769362
57.272455,1024,10759.174578
89.179516,1024,10819.020885
28.786232,1024,10881.291089
50.328887,1024,10944.529473
54.401429,1024,11015.953601
21.694895,1024,11078.73188
58.207017,1024,11140.239907
42.840108,1024,11205.031109
52.633017,1024,11266.894045
63.30403,1024,11333.079762
45.682965,1024,11395.616393
51.468432,1024,11457.111547
71.889727,1024,11519.296548
47.074439,1024,11583.31146
35.704025,1024,11645.667735
52.528667,1024,11711.363437
47.844301,1024,11774.245346
72.752211,1024,11834.679307
58.011939,1024,11897.175199
43.126881,1024,11959.500492
45.930359,1024,12022.672267
47.939076,1024,12088.597714
42.139396,1024,12150.960126
47.728068,1024,12214.329982
60.831849,1024,12277.108416
55.048427,1024,12343.021958
65.942436,1024,12407.787846
43.383675,1024,12470.614231
47.423099,1024,12533.453192
76.382721,1024,12597.024136
63.595492,1024,12659.321477
65.670952,1024,12721.882415
66.066676,1024,12784.191088
52.390153,1024,12847.222574
71.223458,1024,12911.347232
47.297199,1024,12972.964383
60.523792,1024,13034.832105
53.618897,1024,13099.892785
56.173535,1024,13165.220039
45.011452,1024,13228.8198
70.234037,1024,13292.668552
78.340942,1024,13354.02852
58.752044,1024,13415.290538
46.210126,1024,13476.638371
69.625754,1024,13542.9077
40.866649,1024,13607.279162
74.331987,1024,13670.617476
59.703972,1024,13730.825033
69.379056,1024,13793.482933
38.352612,1024,13859.140184
55.537217,1024,13922.458741
60.506282,1024,13986.116024
72.744906,1024,14051.462525
21.303294,1024,14113.9924
