# {"t_start": 1586120038.9367578, "env_id": "PhantomXLeg-v0"} 
r,l,t
-1.924557,1024,68.77185
-0.209877,1024,134.078633
-19.309758,1024,198.787424
1.478915,1024,264.768582
-0.060763,1024,330.70281
3.731038,1024,397.246215
4.939921,1024,463.483536
3.767639,1024,529.477165
9.880598,1024,597.166116
7.413352,1024,664.565379
5.394501,1024,730.337369
11.639502,1024,796.873527
11.285584,1024,864.343683
16.570454,1024,928.716416
17.541249,1024,995.978915
15.901703,1024,1063.891325
21.047687,1024,1129.79549
18.40715,1024,1196.968218
21.594925,1024,1262.990877
23.064819,1024,1330.555157
24.090052,1024,1398.253675
25.235272,1024,1463.935134
21.714724,1024,1530.551837
24.373645,1024,1598.415252
26.662872,1024,1665.821437
25.871216,1024,1732.411965
28.078959,1024,1799.869144
25.128228,1024,1869.168087
25.679628,1024,1936.041625
-11.321628,1024,2002.151037
29.954215,1024,2070.282454
29.098609,1024,2136.080249
23.308376,1024,2204.063918
31.451616,1024,2271.350411
32.346736,1024,2337.740948
30.254164,1024,2405.445859
29.619894,1024,2474.077469
30.518857,1024,2540.363377
31.911782,1024,2605.195995
17.419919,1024,2672.914203
33.525361,1024,2738.094736
30.142315,1024,2804.508528
28.724495,1024,2870.949371
117.969465,1024,2927.983368
24.559422,1024,2992.181096
33.964593,1024,3058.571825
20.739992,1024,3123.994651
30.897543,1024,3190.199901
30.940475,1024,3250.66584
31.054764,1024,3316.325738
29.7111,1024,3380.979743
36.240168,1024,3444.806809
25.499906,1024,3509.647132
27.740499,1024,3575.310007
35.957226,1024,3642.677155
35.410406,1024,3706.924795
34.116359,1024,3774.426973
36.760955,1024,3841.899267
33.498405,1024,3906.089209
42.988695,1024,3968.178795
35.825936,1024,4032.950746
43.826008,1024,4099.188583
34.464036,1024,4163.477116
27.721825,1024,4228.200382
37.590688,1024,4294.781122
32.016291,1024,4360.305427
34.56658,1024,4426.848732
41.390597,1024,4491.529087
24.249136,1024,4552.833064
35.377788,1024,4616.308334
41.289283,1024,4683.319354
36.967532,1024,4748.758002
41.777188,1024,4811.885508
37.34616,1024,4876.650906
35.211993,1024,4942.309296
37.725508,1024,5005.668723
38.407031,1024,5071.266823
36.474139,1024,5137.118552
40.101701,1024,5205.007328
30.341709,1024,5268.725646
42.562192,1024,5334.894057
42.918474,1024,5399.731602
35.309526,1024,5463.341468
43.026005,1024,5529.389945
45.263267,1024,5594.112753
42.006479,1024,5657.305606
45.932225,1024,5720.656747
42.055931,1024,5781.32066
49.71364,1024,5844.771397
42.452041,1024,5909.412916
44.442854,1024,5972.67797
40.543636,1024,6036.74113
40.530471,1024,6098.603439
42.846231,1024,6163.379892
39.116298,1024,6227.290811
40.107037,1024,6291.627637
36.705307,1024,6356.08862
41.911735,1024,6421.920471
39.375263,1024,6487.667321
47.660584,1024,6551.15772
46.680442,1024,6614.179057
46.311532,1024,6673.17624
54.0749,1024,6734.037229
49.017151,1024,6794.915826
45.15546,1024,6858.745459
49.228714,1024,6922.931808
53.783078,1024,6984.611717
48.267598,1024,7047.700627
52.924508,1024,7112.118764
44.578996,1024,7178.587231
30.266449,1024,7241.09689
53.470266,1024,7305.589893
23.49927,1024,7367.039572
56.31737,1024,7428.59506
50.558867,1024,7489.748783
56.790555,1024,7552.426625
51.219936,1024,7616.078458
50.422839,1024,7677.18563
45.78353,1024,7743.599876
30.24799,1024,7803.422111
25.504142,1024,7868.474282
57.178974,1024,7931.858742
47.037054,1024,7997.875904
-60.579327,1024,8048.783481
53.167151,1024,8110.272451
29.456488,1024,8170.337871
47.890663,1024,8231.603582
42.705954,1024,8289.273361
55.857966,1024,8348.747092
28.891788,1024,8409.459136
15.318456,1024,8469.779461
61.552805,1024,8528.871496
60.077757,1024,8588.704162
57.453771,1024,8651.059513
60.900276,1024,8710.09838
55.508996,1024,8772.262722
55.6056,1024,8833.05468
62.733479,1024,8894.291685
61.538568,1024,8955.532349
57.080185,1024,9017.573964
65.055469,1024,9079.168257
50.128522,1024,9139.812875
24.751926,1024,9198.36251
52.53572,1024,9259.475959
45.62294,1024,9318.849539
66.349908,1024,9379.263987
50.085212,1024,9440.068718
62.471049,1024,9501.171056
42.499282,1024,9559.225818
50.615367,1024,9619.426376
62.098604,1024,9678.316911
58.120386,1024,9737.835376
13.460029,1024,9856.228491
67.773392,1024,9918.682779
71.860218,1024,9978.877104
67.338123,1024,10037.967207
64.620283,1024,10097.869364
43.318885,1024,10155.139951
62.692585,1024,10214.296327
9.534051,1024,10272.490865
73.19256,1024,10333.492077
61.948899,1024,10394.39118
30.823241,1024,10451.694557
62.634774,1024,10509.523864
41.368469,1024,10568.708962
61.695067,1024,10629.50416
63.767427,1024,10688.628551
43.230787,1024,10747.796392
47.928084,1024,10808.976508
66.187597,1024,10867.016083
59.480192,1024,10926.045586
69.857541,1024,10983.274591
60.923642,1024,11040.776886
48.652951,1024,11097.802697
69.322714,1024,11156.851848
66.945587,1024,11212.949117
55.906373,1024,11271.034554
76.994199,1024,11327.105592
