main/eplenmean,main/epreward,main/eprewmean,main/fps,main/kl_stop,main/loss/approxkl,main/loss/clipfrac,main/loss/policy_entropy,main/loss/policy_loss,main/loss/value_loss,main/misc/explained_variance,main/misc/nupdates,main/misc/serial_timesteps,main/misc/time_elapsed,main/misc/total_timesteps
1024.0,-2.891803,-2.891803,13,0,0.00197201,0.0132813,4.25455,-0.00793806,0.0835483,-5.401106834411621,1,1024,76.41900288220495,1024
1024.0,-0.32884,-1.6103215,14,0,0.00289272,0.0253906,4.24878,-0.0103417,0.0109641,-4.9924139976501465,2,2048,148.42775267921388,2048
1024.0,-0.337315,-1.185986,14,0,0.00407658,0.0450195,4.24231,-0.0100975,0.00580084,-0.977197527885437,3,3072,217.35919282911345,3072
1024.0,1.006715,-0.63781075,14,0,0.00359988,0.0399414,4.23528,-0.00926054,0.00730396,0.04419642686843872,4,4096,285.6296572671272,4096
1024.0,2.470817,-0.0160852,15,0,0.00492125,0.0606445,4.22409,-0.0136094,0.0229665,-0.041015028953552246,5,5120,353.3226003870368,5120
1024.0,3.158004,0.512929666667,15,0,0.00304565,0.0275391,4.20954,-0.00829066,0.0107639,-0.17581689357757568,6,6144,420.7995469039306,6144
1024.0,2.763096,0.834382,14,0,0.00400344,0.0404297,4.19557,-0.00816784,0.00533783,-0.227530837059021,7,7168,490.5572283472866,7168
1024.0,6.026813,1.483435875,15,0,0.00271101,0.0222656,4.18312,-0.00822733,0.00605432,-0.13792359828948975,8,8192,558.1826313058846,8192
1024.0,3.304346,1.68575922222,15,0,0.00355728,0.0363281,4.17355,-0.00958714,0.00801506,-0.036946773529052734,9,9216,626.3578607202508,9216
1024.0,5.069525,2.0241358,14,0,0.00364029,0.0402344,4.16733,-0.0100163,0.0172089,-0.031215310096740723,10,10240,697.6535235429183,10240
1024.0,6.800198,2.45832327273,14,0,0.00512369,0.0623047,4.16392,-0.0112245,0.0082963,-0.15417718887329102,11,11264,767.717318486888,11264
1024.0,5.407425,2.70408175,15,0,0.00252804,0.0223633,4.17095,-0.00792029,0.00425824,-0.07784831523895264,12,12288,834.546499454882,12288
